d1,d2,d3,x,y,z,value,label,label_clean,Model,ROI_model
49,123,73,-1.558974504,5.492442012,4.831896424,3.93,left Primary Motor Cortex_left,left_primary_motor_cortex_left,LMod5_Alc,left_primary_motor_cortex_left_LMod5_Alc
54,17,40,-0.738461658,-11.8866272,-0.573275939,3.427,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left,LMod5_Alc,left_molecular_layer_of_the_cerebellum_left_LMod5_Alc
41,51,33,-2.871795058,-6.312208772,-1.719827652,-5.136,left Middle Cerebellar Peduncle_left ,left_middle_cerebellar_peduncle_left,LMod5_Alc,left_middle_cerebellar_peduncle_left_LMod5_Alc
49,80,30,-1.558974504,-1.557557762,-2.211206958,-4.883,left Hypothalamic Region_left,left_hypothalamic_region_left,LMod5_Alc,left_hypothalamic_region_left_LMod5_Alc
80,104,56,3.528205141,2.377325833,2.047413692,-4.48,right Striatum,right_striatum_2,LMod5_Alc,right_striatum_2_LMod5_Alc
32,100,26,-4.348718181,1.7215119,-2.866379365,-4.33,left Entorhinal Cortex_left,left_entorhinal_cortex_left,LMod5_Alc,left_entorhinal_cortex_left_LMod5_Alc
67,29,68,1.394871742,-9.9191854,4.012930915,-4.295,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_2,LMod5_Alc,right_molecular_layer_of_the_cerebellum_2_LMod5_Alc
80,64,44,3.528205141,-4.180813491,0.081896469,-4.281,right Perirhinal Area 35,right_perirhinal_area_35,LMod5_Alc,right_perirhinal_area_35_LMod5_Alc
45,70,52,-2.215384781,-3.197092593,1.392241284,-4.257,left Thalamus_left ,left_thalamus_left,LMod5_Alc,left_thalamus_left_LMod5_Alc
41,32,64,-2.871795058,-9.427324951,3.357758507,-4.207,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left_2,LMod5_Alc,left_molecular_layer_of_the_cerebellum_left_2_LMod5_Alc
96,102,32,6.153846249,2.049418867,-1.883620754,-3.956,right Entorhinal Cortex,right_entorhinal_cortex,LMod5_Alc,right_entorhinal_cortex_LMod5_Alc
33,113,52,-4.184615612,3.852907181,1.392241284,-3.895,left Dysgranular Insular Cortex_left,left_dysgranular_insular_cortex_left,LMod5_Alc,left_dysgranular_insular_cortex_left_LMod5_Alc
45,87,76,-2.215384781,-0.40988338,5.32327573,-3.841,left Primary Motor Cortex_left,left_primary_motor_cortex_left_2,LMod5_Alc,left_primary_motor_cortex_left_2_LMod5_Alc
65,44,48,1.066666603,-7.459883153,0.737068877,-3.696,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_3,LMod5_Alc,right_molecular_layer_of_the_cerebellum_3_LMod5_Alc
67,97,29,1.394871742,1.229651451,-2.37500006,-3.606,right Hypothalamic Region,right_hypothalamic_region,LMod5_Alc,right_hypothalamic_region_LMod5_Alc
36,44,31,-3.692307904,-7.459883153,-2.047413856,5.954,left Granule Cell Level of the Cerebellum_left,left_granule_cell_level_of_the_cerebellum_left,LMod3_Str,left_granule_cell_level_of_the_cerebellum_left_LMod3_Str
96,72,49,6.153846249,-2.869185627,0.900861979,4.575,right Cornu Ammonis 1,right_cornu_ammonis_1,LMod3_Str,right_cornu_ammonis_1_LMod3_Str
98,100,42,6.482051387,1.7215119,-0.245689735,4.55,right Dysgranular Insular Cortex,right_dysgranular_insular_cortex,LMod3_Str,right_dysgranular_insular_cortex_LMod3_Str
81,123,44,3.692307711,5.492442012,0.081896469,4.484,right PreLimbic System,right_pre_limbic_system,LMod3_Str,right_pre_limbic_system_LMod3_Str
37,127,55,-3.528205335,6.148255944,1.88362059,4.393,left Agranular Insular Cortex_left,left_agranular_insular_cortex_left,LMod3_Str,left_agranular_insular_cortex_left_LMod3_Str
28,70,50,-5.005128458,-3.197092593,1.06465508,4.289,left Cornu Ammonis 1_left,left_cornu_ammonis_1_left,LMod3_Str,left_cornu_ammonis_1_left_LMod3_Str
104,43,31,7.466666803,-7.623836637,-2.047413856,4.208,right Granule Cell Level of the Cerebellum,right_granule_cell_level_of_the_cerebellum,LMod3_Str,right_granule_cell_level_of_the_cerebellum_LMod3_Str
43,90,55,-2.54358992,0.081977069,1.88362059,4.167,left Thalamus_left ,left_thalamus_left,LMod3_Str,left_thalamus_left_LMod3_Str
74,94,52,2.543589726,0.737791002,1.392241284,3.874,right Thalamus ,right_thalamus,LMod3_Str,right_thalamus_LMod3_Str
78,25,42,3.200000003,-10.57499933,-0.245689735,3.848,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum,LMod3_Str,right_molecular_layer_of_the_cerebellum_LMod3_Str
46,154,56,-2.051282212,10.57499999,2.047413692,3.517,left Olfactory Bulb_left,left_olfactory_bulb_left,LMod3_Str,left_olfactory_bulb_left_LMod3_Str
81,53,30,3.692307711,-5.984301805,-2.211206958,3.348,right Middle Cerebellar Peduncle ,right_middle_cerebellar_peduncle,LMod3_Str,right_middle_cerebellar_peduncle_LMod3_Str
57,46,49,-0.246153951,-7.131976187,0.900861979,3.265,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left,LMod3_Str,left_molecular_layer_of_the_cerebellum_left_LMod3_Str
34,69,31,-4.020513043,-3.361046076,-2.047413856,-5.648,left Medial Entorhinal Cortex_left,left_medial_entorhinal_cortex_left,LMod3_Str,left_medial_entorhinal_cortex_left_LMod3_Str
49,125,70,-1.558974504,5.820348978,4.340517119,-4.627,left Primary Motor Cortex_left,left_primary_motor_cortex_left,LMod3_Str,left_primary_motor_cortex_left_LMod3_Str
82,71,29,3.85641028,-3.03313911,-2.37500006,-4.588,right Subiculum,right_subiculum,LMod3_Str,right_subiculum_LMod3_Str
60,149,56,0.246153757,9.755232573,2.047413692,-4.314,right Olfactory Bulb,right_olfactory_bulb,LMod3_Str,right_olfactory_bulb_LMod3_Str
51,15,49,-1.230769366,-12.21453416,0.900861979,-4.122,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left_2,LMod3_Str,left_molecular_layer_of_the_cerebellum_left_2_LMod3_Str
84,42,65,4.184615418,-7.78779012,3.521551609,-4.092,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_2,LMod3_Str,right_molecular_layer_of_the_cerebellum_2_LMod3_Str
67,67,66,1.394871742,-3.688953042,3.685344711,-3.9,right Retrosplenial Granular Cortex Part B,right_retrosplenial_granular_cortex_part_b,LMod3_Str,right_retrosplenial_granular_cortex_part_b_LMod3_Str
31,94,42,-4.51282075,0.737791002,-0.245689735,-3.851,left Striatum_left,left_striatum_left,LMod3_Str,left_striatum_left_LMod3_Str
105,64,37,7.630769372,-4.180813491,-1.064655244,-3.583,right Lateral Entorhinal Cortex,right_lateral_entorhinal_cortex,LMod3_Str,right_lateral_entorhinal_cortex_LMod3_Str
63,101,34,0.738461465,1.885465384,-1.55603455,-3.527,right Hypothalamic Region,right_hypothalamic_region,LMod3_Str,right_hypothalamic_region_LMod3_Str
52,42,68,-1.066666797,-7.78779012,4.012930915,-3.414,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left_3,LMod3_Str,left_molecular_layer_of_the_cerebellum_left_3_LMod3_Str
71,97,80,2.051282018,1.229651451,5.978448138,-3.263,right Primary Motor Cortex,right_primary_motor_cortex,LMod3_Str,right_primary_motor_cortex_LMod3_Str
49,167,70,-1.558974504,12.70639527,4.340517119,-3.172,left Glomerular Layer of the Olfactory Bulb_left,left_glomerular_layer_of_the_olfactory_bulb_left,LMod3_Str,left_glomerular_layer_of_the_olfactory_bulb_left_LMod3_Str
41,51,33,-2.871795058,-6.312208772,-1.719827652,5.136,left Middle Cerebellar Peduncle_left ,left_middle_cerebellar_peduncle_left,LMod7_Str,left_middle_cerebellar_peduncle_left_LMod7_Str
49,80,30,-1.558974504,-1.557557762,-2.211206958,4.883,left Hypothalamic Region_left,left_hypothalamic_region_left,LMod7_Str,left_hypothalamic_region_left_LMod7_Str
80,104,56,3.528205141,2.377325833,2.047413692,4.48,right Striatum,right_striatum,LMod7_Str,right_striatum_LMod7_Str
32,100,26,-4.348718181,1.7215119,-2.866379365,4.33,left Entorhinal Cortex_left,left_entorhinal_cortex_left,LMod7_Str,left_entorhinal_cortex_left_LMod7_Str
67,29,68,1.394871742,-9.9191854,4.012930915,4.295,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum,LMod7_Str,right_molecular_layer_of_the_cerebellum_LMod7_Str
80,64,44,3.528205141,-4.180813491,0.081896469,4.281,right Perirhinal Area 35,right_perirhinal_area_35,LMod7_Str,right_perirhinal_area_35_LMod7_Str
45,70,52,-2.215384781,-3.197092593,1.392241284,4.257,left Thalamus_left ,left_thalamus_left,LMod7_Str,left_thalamus_left_LMod7_Str
41,32,64,-2.871795058,-9.427324951,3.357758507,4.207,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left,LMod7_Str,left_molecular_layer_of_the_cerebellum_left_LMod7_Str
96,102,32,6.153846249,2.049418867,-1.883620754,3.956,right Entorhinal Cortex,right_entorhinal_cortex,LMod7_Str,right_entorhinal_cortex_LMod7_Str
33,113,52,-4.184615612,3.852907181,1.392241284,3.895,left Dysgranular Insular Cortex_left,left_dysgranular_insular_cortex_left,LMod7_Str,left_dysgranular_insular_cortex_left_LMod7_Str
45,87,76,-2.215384781,-0.40988338,5.32327573,3.841,left Primary Motor Cortex_left,left_primary_motor_cortex_left,LMod7_Str,left_primary_motor_cortex_left_LMod7_Str
65,44,48,1.066666603,-7.459883153,0.737068877,3.696,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_2,LMod7_Str,right_molecular_layer_of_the_cerebellum_2_LMod7_Str
67,97,29,1.394871742,1.229651451,-2.37500006,3.606,right Hypothalamic Region,right_hypothalamic_region,LMod7_Str,right_hypothalamic_region_LMod7_Str
31,69,31,-4.51282075,-3.361046076,-2.047413856,-6.412,left Amygdalopiriform Cortex_left,left_amygdalopiriform_cortex_left,LMod7_Str,left_amygdalopiriform_cortex_left_LMod7_Str
92,36,42,5.497435972,-8.771511018,-0.245689735,-6.387,right Granule Cell Level of the Cerebellum,right_granule_cell_level_of_the_cerebellum,LMod7_Str,right_granule_cell_level_of_the_cerebellum_LMod7_Str
81,76,32,3.692307711,-2.213371694,-1.883620754,-5.176,right Cornu Ammonis 3,right_cornu_ammonis_3,LMod7_Str,right_cornu_ammonis_3_LMod7_Str
61,51,42,0.410256326,-6.312208772,-0.245689735,-5.026,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_3,LMod7_Str,right_molecular_layer_of_the_cerebellum_3_LMod7_Str
39,84,63,-3.200000197,-0.901743829,3.193965405,-4.494,left Cornu Ammonis 3_left,left_cornu_ammonis_3_left,LMod7_Str,left_cornu_ammonis_3_left_LMod7_Str
64,114,47,0.902564034,4.016860664,0.573275775,-4.491,right Striatum,right_striatum_2,LMod7_Str,right_striatum_2_LMod7_Str
62,86,50,0.574358895,-0.573836863,1.06465508,-4.056,right Dentate Gyrus,right_dentate_gyrus,LMod7_Str,right_dentate_gyrus_LMod7_Str
59,148,48,0.082051188,9.591279089,0.737068877,-4.012,right Glomerular Layer of the Olfactory Bulb,right_glomerular_layer_of_the_olfactory_bulb,LMod7_Str,right_glomerular_layer_of_the_olfactory_bulb_LMod7_Str
49,123,73,-1.558974504,5.492442012,4.831896424,-3.93,left Primary Motor Cortex_left,left_primary_motor_cortex_left_2,LMod7_Str,left_primary_motor_cortex_left_2_LMod7_Str
54,17,40,-0.738461658,-11.8866272,-0.573275939,-3.427,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left_2,LMod7_Str,left_molecular_layer_of_the_cerebellum_left_2_LMod7_Str
88,58,40,4.841025695,-5.16453439,-0.573275939,7.46,right Perirhinal Area 36,right_perirhinal_area_36,LMod3_AlcStr,right_perirhinal_area_36_LMod3_AlcStr
37,45,32,-3.528205335,-7.29592967,-1.883620754,6.272,left Granule Cell Level of the Cerebellum_left,left_granule_cell_level_of_the_cerebellum_left,LMod3_AlcStr,left_granule_cell_level_of_the_cerebellum_left_LMod3_AlcStr
77,84,47,3.035897434,-0.901743829,0.573275775,5.987,right Thalamus ,right_thalamus,LMod3_AlcStr,right_thalamus_LMod3_AlcStr
44,156,61,-2.379487351,10.90290695,2.866379201,5.662,left Glomerular Layer of the Olfactory Bulb_left,left_glomerular_layer_of_the_olfactory_bulb_left,LMod3_AlcStr,left_glomerular_layer_of_the_olfactory_bulb_left_LMod3_AlcStr
79,25,41,3.364102572,-10.57499933,-0.409482837,4.829,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum,LMod3_AlcStr,right_molecular_layer_of_the_cerebellum_LMod3_AlcStr
54,85,66,-0.738461658,-0.737790346,3.685344711,4.376,left Cornu Ammonis 1_left,left_cornu_ammonis_1_left,LMod3_AlcStr,left_cornu_ammonis_1_left_LMod3_AlcStr
60,114,65,0.246153757,4.016860664,3.521551609,4.034,right Secondary Cingular Cortex,right_secondary_cingular_cortex,LMod3_AlcStr,right_secondary_cingular_cortex_LMod3_AlcStr
66,145,49,1.230769172,9.09941864,0.900861979,3.91,right Olfactory Bulb,right_olfactory_bulb,LMod3_AlcStr,right_olfactory_bulb_LMod3_AlcStr
22,79,33,-5.989743873,-1.721511245,-1.719827652,3.837,left Lateral Entorhinal Cortex_left,left_lateral_entorhinal_cortex_left,LMod3_AlcStr,left_lateral_entorhinal_cortex_left_LMod3_AlcStr
97,102,43,6.317948818,2.049418867,-0.081896633,3.314,right Dysgranular Insular Cortex,right_dysgranular_insular_cortex,LMod3_AlcStr,right_dysgranular_insular_cortex_LMod3_AlcStr
46,36,58,-2.051282212,-8.771511018,2.374999896,3.275,left Granule Cell Level of the Cerebellum_left,left_granule_cell_level_of_the_cerebellum_left_2,LMod3_AlcStr,left_granule_cell_level_of_the_cerebellum_left_2_LMod3_AlcStr
66,25,70,1.230769172,-10.57499933,4.340517119,2.95,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_2,LMod3_AlcStr,right_molecular_layer_of_the_cerebellum_2_LMod3_AlcStr
49,92,25,-1.558974504,0.409884036,-3.030172467,-7.239,left Hypothalamic Region_left,left_hypothalamic_region_left,LMod3_AlcStr,left_hypothalamic_region_left_LMod3_AlcStr
74,44,67,2.543589726,-7.459883153,3.849137813,-5.93,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_3,LMod3_AlcStr,right_molecular_layer_of_the_cerebellum_3_LMod3_AlcStr
32,112,51,-4.348718181,3.688953698,1.228448182,-5.811,left Dysgranular Insular Cortex_left,left_dysgranular_insular_cortex_left,LMod3_AlcStr,left_dysgranular_insular_cortex_left_LMod3_AlcStr
40,46,64,-3.035897627,-7.131976187,3.357758507,-5.688,left Retosplenial Dysgranular Cortex_left,left_retosplenial_dysgranular_cortex_left,LMod3_AlcStr,left_retosplenial_dysgranular_cortex_left_LMod3_AlcStr
71,136,66,2.051282018,7.623837292,3.685344711,-5.193,right Frontal Association Cortex,right_frontal_association_cortex,LMod3_AlcStr,right_frontal_association_cortex_LMod3_AlcStr
62,90,47,0.574358895,0.081977069,0.573275775,-5.044,right Dentate Gyrus,right_dentate_gyrus,LMod3_AlcStr,right_dentate_gyrus_LMod3_AlcStr
78,73,32,3.200000003,-2.705232143,-1.883620754,-4.91,right Dentate Gyrus,right_dentate_gyrus_2,LMod3_AlcStr,right_dentate_gyrus_2_LMod3_AlcStr
105,62,40,7.630769372,-4.508720458,-0.573275939,-4.829,right Lateral Entorhinal Cortex,right_lateral_entorhinal_cortex,LMod3_AlcStr,right_lateral_entorhinal_cortex_LMod3_AlcStr
83,112,56,4.020512849,3.688953698,2.047413692,-4.213,right Striatum,right_striatum,LMod3_AlcStr,right_striatum_LMod3_AlcStr
48,170,65,-1.723077074,13.19825572,3.521551609,-4.155,left Glomerular Layer of the Olfactory Bulb_left,left_glomerular_layer_of_the_olfactory_bulb_left_2,LMod3_AlcStr,left_glomerular_layer_of_the_olfactory_bulb_left_2_LMod3_AlcStr
80,95,20,3.528205141,0.901744485,-3.849137977,-4.041,right Entorhinal Cortex,right_entorhinal_cortex,LMod3_AlcStr,right_entorhinal_cortex_LMod3_AlcStr
49,16,51,-1.558974504,-12.05058068,1.228448182,-4.034,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left,LMod3_AlcStr,left_molecular_layer_of_the_cerebellum_left_LMod3_AlcStr
52,94,80,-1.066666797,0.737791002,5.978448138,-3.962,left Primary Motor Cortex_left,left_primary_motor_cortex_left,LMod3_AlcStr,left_primary_motor_cortex_left_LMod3_AlcStr
57,130,40,-0.246153951,6.640116394,-0.573275939,-3.682,left Olfactory Bulb_left,left_olfactory_bulb_left,LMod3_AlcStr,left_olfactory_bulb_left_LMod3_AlcStr
86,19,46,4.512820557,-11.55872023,0.409482673,-3.617,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_4,LMod3_AlcStr,right_molecular_layer_of_the_cerebellum_4_LMod3_AlcStr
