RID,Group,Sex,Batch,Stage,PI,PI_entries,Anxiety_index,nose.dip,bodycentre.raw.distance,bodycentre.distance.moving,bodycentre.raw.speed,bodycentre.speed.moving,bodycentre.time.moving,bodycentre.total.time,bodycentre.time.stationary,bodycentre.percentage.moving,bodycentre.center.raw.distance,bodycentre.center.distance.moving,bodycentre.center.raw.speed,bodycentre.center.speed.moving,bodycentre.center.time.moving,bodycentre.center.total.time,bodycentre.center.time.stationary,bodycentre.center.percentage.moving,bodycentre.center.transitions,bodycentre.open.raw.distance,bodycentre.open.distance.moving,bodycentre.open.raw.speed,bodycentre.open.speed.moving,bodycentre.open.time.moving,bodycentre.open.total.time,bodycentre.open.time.stationary,bodycentre.open.percentage.moving,bodycentre.open.transitions,bodycentre.closed.raw.distance,bodycentre.closed.distance.moving,bodycentre.closed.raw.speed,bodycentre.closed.speed.moving,bodycentre.closed.time.moving,bodycentre.closed.total.time,bodycentre.closed.time.stationary,bodycentre.closed.percentage.moving,bodycentre.closed.transitions,bodycentre.closed.top.raw.distance,bodycentre.closed.top.distance.moving,bodycentre.closed.top.raw.speed,bodycentre.closed.top.speed.moving,bodycentre.closed.top.time.moving,bodycentre.closed.top.total.time,bodycentre.closed.top.time.stationary,bodycentre.closed.top.percentage.moving,bodycentre.closed.top.transitions,bodycentre.closed.bottom.raw.distance,bodycentre.closed.bottom.distance.moving,bodycentre.closed.bottom.raw.speed,bodycentre.closed.bottom.speed.moving,bodycentre.closed.bottom.time.moving,bodycentre.closed.bottom.total.time,bodycentre.closed.bottom.time.stationary,bodycentre.closed.bottom.percentage.moving,bodycentre.closed.bottom.transitions,bodycentre.open.left.raw.distance,bodycentre.open.left.distance.moving,bodycentre.open.left.raw.speed,bodycentre.open.left.speed.moving,bodycentre.open.left.time.moving,bodycentre.open.left.total.time,bodycentre.open.left.time.stationary,bodycentre.open.left.percentage.moving,bodycentre.open.left.transitions,bodycentre.open.right.raw.distance,bodycentre.open.right.distance.moving,bodycentre.open.right.raw.speed,bodycentre.open.right.speed.moving,bodycentre.open.right.time.moving,bodycentre.open.right.total.time,bodycentre.open.right.time.stationary,bodycentre.open.right.percentage.moving,bodycentre.open.right.transitions
sub-019,Alc,female,B2,T1,0.594391244870041,0.5609756097560976,0.4223165726869307,15,966.979980328667,466.70810589459677,3.7831767618492447,10.54310480183577,44.266666666666666,255.6,211.33333333333331,17.318727177882106,208.35357241861053,107.70147009071182,3.6510555914476144,8.975122507559318,12,57.06666666666667,45.06666666666667,21.02803738317757,9,352.21026184604517,178.0427276798561,4.454598589958413,11.92250408570465,14.933333333333334,79.06666666666666,64.13333333333333,18.88701517706577,18,385.3727056868186,166.04917478316275,3.326001487515696,10.207941072735416,16.266666666666666,115.86666666666666,99.6,14.039125431530493,23,196.7398631612244,131.57664431229972,6.199785603820097,11.08791946451964,11.866666666666667,31.733333333333334,19.866666666666667,37.39495798319328,7,188.63284252559424,34.47253047086303,2.242070236041136,7.834666016105235,4.4,84.13333333333334,79.73333333333333,5.229793977812995,30,120.91518843577039,29.66791179145854,2.9733243057976324,10.114060837997231,2.933333333333333,40.666666666666664,37.733333333333334,7.213114754098362,10,231.29507341027477,148.3748158883976,6.023309203392572,12.364567990699797,12,38.4,26.4,31.25,8
sub-020,Alc,female,B2,T1,0.47809278350515466,0.47619047619047616,0.5228583701521846,13,1096.8543146760978,682.9528363178725,4.286819885393816,10.432069801189499,65.46666666666667,255.86666666666667,190.4,25.5862428348098,157.12646307688394,101.8874742736029,4.549994104542971,10.762761366929885,9.466666666666667,34.53333333333333,25.066666666666663,27.413127413127413,11,481.81849485860187,331.3478812891803,4.461282359801869,11.04492937630601,30,108,78,27.77777777777778,33,395.5866745207462,204.48573449353881,3.99851759960323,9.83104492757398,20.8,98.93333333333334,78.13333333333334,21.024258760107816,30,239.13885179822216,145.97017952380833,5.306335468895462,11.403920275297525,12.8,45.06666666666667,32.266666666666666,28.402366863905325,8,156.44782272252405,58.51555496973048,2.904353144601313,7.31444437121631,8,53.86666666666667,45.86666666666667,14.85148514851485,36,162.23175809136444,101.97850500885232,3.826220709701991,9.105223661504672,11.2,42.4,31.2,26.41509433962264,20,319.5867367672374,229.369376280328,4.871749036085936,12.200498738315318,18.8,65.6,46.8,28.65853658536586,13
sub-021,Ctrl,female,B2,T1,0.9427220178665265,0.6666666666666666,0.19530565773340336,6,644.0648552827312,232.70066313206573,2.4886586371048347,10.513584177653572,22.133333333333333,258.8,236.66666666666669,8.552292632663574,8.011868606472536,0,1.7168289871012576,NA,0,4.666666666666667,4.666666666666667,0,4,31.152391865006436,0,2.1435132017206264,NA,0,14.533333333333333,14.533333333333333,0,4,602.9251554503609,232.70066313206573,2.5205901147590337,10.513584177653572,22.133333333333333,239.2,217.06666666666666,9.253065774804906,8,505.77511443229946,223.40308777061347,2.7627919579331723,10.809826827610328,20.666666666666668,183.06666666666666,162.4,11.28914785142025,8,97.1500410180614,9.297575361452248,1.730701443314633,6.339255928262897,1.4666666666666666,56.13333333333333,54.666666666666664,2.6128266033254155,16,31.152391865006436,0,2.1435132017206264,NA,0,14.533333333333333,14.533333333333333,0,4,0,0,NA,NA,0,0,0,NA,0
sub-022,Alc,female,B2,T1,0.596829772570641,0.5319148936170213,0.43562766690616894,19,1080.006695329593,636.9102442583917,4.220974577890541,11.031932637270064,57.733333333333334,255.86666666666667,198.13333333333333,22.56383533090151,199.5020762918076,132.08395183604227,4.675829913089241,8.844907489020688,14.933333333333334,42.666666666666664,27.73333333333333,35,11,359.8910553278449,228.31085294103508,4.613987888818524,12.590672037189435,18.133333333333333,78,59.86666666666667,23.247863247863247,22,462.06667631618086,242.31541012934744,4.001732185186324,11.35853484981316,21.333333333333332,115.46666666666667,94.13333333333334,18.475750577367204,25,268.47539337783667,179.59753321076192,5.189601676117977,14.031057282090776,12.8,51.733333333333334,38.93333333333334,24.742268041237114,13,193.59128293834416,62.71787691858551,3.037520129785735,7.34975120139674,8.533333333333333,63.733333333333334,55.2,13.389121338912133,36,135.53491051886596,69.65376371501868,3.300363080816541,9.674133849308149,7.2,41.06666666666667,33.86666666666667,17.532467532467532,16,224.35614480897897,158.6570892260164,6.074624859448889,14.511319136525891,10.933333333333334,36.93333333333333,25.999999999999996,29.602888086642604,8
sub-023,Ctrl,female,B2,T1,0.7547297297297297,0.5609756097560976,0.3421473302570863,8.5,843.0681295235539,413.4265889317995,3.2915205473329796,10.546596656423455,39.2,256.1333333333333,216.93333333333334,15.304528891202501,131.48588434503822,48.00884036857257,2.679739490727681,8.183325062824869,5.866666666666666,49.06666666666667,43.2,11.956521739130434,12,235.57085078659668,154.96848752601588,4.867166338566047,10.862277163038495,14.266666666666667,48.4,34.13333333333333,29.476584022038573,18,444.95100074318793,196.46702625186117,2.987585054229104,11.422501526270999,17.2,148.93333333333334,131.73333333333335,11.548791405550581,23,273.27901538247346,169.21801489305113,3.9720787119545564,12.087001063789367,14,68.8,54.8,20.348837209302324,7,171.67198536071444,27.24901135881004,2.1423292682285497,8.515316049628138,3.2,80.13333333333334,76.93333333333334,3.9933444259567388,30,50.953770246129565,35.0138561771221,6.065925029301139,12.504948634686464,2.8,8.4,5.6000000000000005,33.33333333333333,10,184.61708054046713,119.95463134889377,4.615427013511678,10.461159710659341,11.466666666666667,40,28.53333333333333,28.666666666666668,8
sub-024,Alc,female,B2,T1,0.0828125,0.5,0.70859375,3,486.1445446171607,198.41162984191268,1.899002127410784,10.705663480678743,18.533333333333335,256,237.46666666666667,7.239583333333334,0,0,NA,NA,0,0,0,NA,0,452.7981083358368,185.0398630349091,1.9284416879720474,11.014277561601732,16.8,234.8,218,7.155025553662692,1,33.34643628132391,13.371766807003599,1.5729451076096184,7.714480850194383,1.7333333333333334,21.2,19.466666666666665,8.176100628930818,1,25.663093370140352,9.772072988747633,1.4049138706281217,7.329054741560725,1.3333333333333333,18.266666666666666,16.933333333333334,7.2992700729927,3,7.683342911183556,3.5996938182559663,2.619321446994394,8.999234545639915,0.4,2.933333333333333,2.533333333333333,13.636363636363638,4,0,0,NA,NA,0,0,0,NA,0,452.7981083358368,185.0398630349091,1.9284416879720474,11.014277561601732,16.8,234.8,218,7.155025553662692,1
sub-028,Ctrl,male,B2,T1,0.7244348762109795,0.6153846153846154,0.3300902542022026,9,768.7934385193848,356.8836462925663,2.9921903419280675,10.749507418450792,33.2,256.93333333333334,223.73333333333335,12.921639854696421,13.472070506442567,3.770915705410553,1.4643554898307138,7.070466947644787,0.5333333333333333,9.2,8.666666666666666,5.797101449275362,6,262.88564603763757,156.35356701178105,3.850863955629457,12.609158629982343,12.4,68.26666666666667,55.86666666666667,18.1640625,10,492.4357219753047,196.7591635753747,2.7438840377524407,9.70851136062704,20.266666666666666,179.46666666666667,159.2,11.292719167904902,16,299.3746900848452,165.88462661714016,4.591636350994559,10.454913442256734,15.866666666666667,65.2,49.333333333333336,24.335378323108383,10,193.06103189045947,30.874536958234536,1.6895656233120724,7.016940217780577,4.4,114.26666666666667,109.86666666666666,3.8506417736289387,26,8.762949361819562,0,1.8777748632470488,NA,0,4.666666666666667,4.666666666666667,0,4,254.12269667581805,156.35356701178105,3.995639884839906,12.609158629982343,12.4,63.6,51.2,19.49685534591195,6
sub-029,Alc,male,B2,T1,0.5373608903020667,0.48,0.4913195548489666,8,1074.7150161616987,607.124103686105,4.209066642930935,12.40716833145991,48.93333333333333,255.33333333333334,206.4,19.164490861618795,0,0,NA,NA,0,0,0,NA,0,525.8978865721064,324.4229946995329,4.518023080516378,13.081572366916651,24.8,116.4,91.60000000000001,21.305841924398624,13,535.8668525155764,279.3892323511205,3.9635122227483466,11.772018217041595,23.733333333333334,135.2,111.46666666666665,17.554240631163708,12,446.78335307088025,255.32248880311528,4.540481230395124,12.275119653995926,20.8,98.4,77.60000000000001,21.13821138211382,8,89.08349944469619,24.06674354800521,2.420747267518918,8.204571664092686,2.933333333333333,36.8,33.86666666666667,7.971014492753624,18,10.841901859819332,9.570600935401757,4.7831919969791175,8.972438376939147,1.0666666666666667,2.2666666666666666,1.2,47.05882352941176,2,515.055984712287,314.8523937641312,4.512756875399711,13.266252546241482,23.733333333333334,114.13333333333334,90.4,20.794392523364486,11
sub-030,Alc,male,B2,T1,0.5438792621576299,0.5,0.4780603689211851,11,983.9980872117634,513.6713347187002,3.833758781344532,12.884732476221577,39.86666666666667,256.6666666666667,216.8,15.532467532467532,55.2407541707794,30.935731474684875,3.288140129213059,9.280719442405463,3.3333333333333335,16.8,13.466666666666667,19.841269841269842,2,453.38432952748866,246.37898209109466,4.167135381686477,14.324359423900853,17.2,108.8,91.6,15.808823529411764,18,467.8425290332423,232.93457649172973,3.6061859894648682,12.216848417398413,19.066666666666666,129.73333333333332,110.66666666666666,14.69681397738952,18,291.56368620491395,195.81974564064762,4.981156370243404,12.552547797477411,15.6,58.53333333333333,42.93333333333333,26.65148063781321,7,176.27884282832832,37.11483085108211,2.4758264442180944,10.706201207042916,3.466666666666667,71.2,67.73333333333333,4.868913857677903,21,61.283755286965636,18.660259824047973,3.259774217391789,9.996567762882842,1.8666666666666667,18.8,16.933333333333334,9.929078014184398,4,392.10057424052303,227.7187222670467,4.356673047116923,14.851221017416089,15.333333333333334,90,74.66666666666667,17.037037037037038,14
sub-031,Ctrl,male,B2,T1,0.7408066429418743,0.5555555555555556,0.3518189007512851,9,1126.026968499491,648.6594172398186,4.414637879637314,12.347577739336648,52.53333333333333,255.06666666666666,202.53333333333333,20.595922634605333,108.20972599127043,61.45054824448319,4.017687846210535,10.019111126817911,6.133333333333334,26.933333333333334,20.8,22.772277227722775,7,363.83986248524366,260.580737439447,6.244391232584274,13.205104937809812,19.733333333333334,58.266666666666666,38.53333333333333,33.86727688787185,20,635.1168532160037,312.4315372988153,3.8137521209928167,12.332823840742709,25.333333333333332,166.53333333333333,141.2,15.212169735788631,25,345.71621981942184,245.46550178440094,5.516748188607796,14.495994199866198,16.933333333333334,62.666666666666664,45.733333333333334,27.02127659574468,20,289.4006333965819,66.96603551441434,2.7862705397617,7.972147085049326,8.4,103.86666666666666,95.46666666666665,8.087291399229784,37,89.4456273262166,30.519902274453184,3.747721815344271,8.803817963784573,3.466666666666667,23.866666666666667,20.4,14.52513966480447,10,274.39423515902706,230.06083516499376,7.97657660346009,14.14308412899552,16.266666666666666,34.4,18.133333333333333,47.286821705426355,10
