d1,d2,d3,x,y,z,value,label,label_clean,Model,ROI_model
65,82,21,1.06666660308838,-1.22965079545975,-3.68534487485886,4.039,right Hypothalamic Region,right_hypothalamic_region,LMod4_Alc,right_hypothalamic_region_LMod4_Alc
46,80,60,-2.05128221213818,-1.55755776166916,2.70258609950542,3.892,left Dentate Gyrus_left,left_dentate_gyrus_left_2,LMod4_Alc,left_dentate_gyrus_left_2_LMod4_Alc
83,135,59,4.02051284909248,7.45988380908966,2.53879299759865,3.881,right Dorso Lateral Orbital Cortex,right_dorso_lateral_orbital_cortex,LMod4_Alc,right_dorso_lateral_orbital_cortex_LMod4_Alc
70,53,66,1.88717944920063,-5.98430180549622,3.68534471094608,3.427,right Retosplenial Dysgranular Cortex,right_retosplenial_dysgranular_cortex,LMod4_Alc,right_retosplenial_dysgranular_cortex_LMod4_Alc
96,76,22,6.15384624898434,-2.21337169408798,-3.52155177295208,3.231,right Amygdalopiriform Cortex,right_amygdalopiriform_cortex,LMod4_Alc,right_amygdalopiriform_cortex_LMod4_Alc
34,33,39,-4.02051304280758,-9.26337146759033,-0.73706904053688,3.23,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left_3,LMod4_Alc,left_molecular_layer_of_the_cerebellum_left_3_LMod4_Alc
67,151,54,1.39487174153328,10.083139538765,1.71982748806477,-6.198,right Olfactory Bulb,right_olfactory_bulb,LMod4_Alc,right_olfactory_bulb_LMod4_Alc
46,103,72,-2.05128221213818,2.21337234973907,4.66810332238674,-5.605,left Primary Motor Cortex_left,left_primary_motor_cortex_left,LMod4_Alc,left_primary_motor_cortex_left_LMod4_Alc
25,88,43,-5.49743616580963,-0.245929896831512,-0.0818966329097748,-5.546,left Posterior Agralunar Insular Cortex_left,left_posterior_agralunar_insular_cortex_left,LMod4_Alc,left_posterior_agralunar_insular_cortex_left_LMod4_Alc
69,65,73,1.72307687997818,-4.01686000823975,4.83189642429352,-5.397,right Retosplenial Dysgranular Cortex,right_retosplenial_dysgranular_cortex_2,LMod4_Alc,right_retosplenial_dysgranular_cortex_2_LMod4_Alc
91,113,47,5.33333340287209,3.85290718078613,0.573275774717331,-5.189,right Dysgranular Insular Cortex,right_dysgranular_insular_cortex,LMod4_Alc,right_dysgranular_insular_cortex_LMod4_Alc
30,53,57,-4.67692331969738,-5.98430180549622,2.2112067937851,-4.964,left Retosplenial Dysgranular Cortex_left,left_retosplenial_dysgranular_cortex_left,LMod4_Alc,left_retosplenial_dysgranular_cortex_left_LMod4_Alc
70,117,68,1.88717944920063,4.50872111320496,4.01293091475964,-4.526,right Primary Motor Cortex,right_primary_motor_cortex,LMod4_Alc,right_primary_motor_cortex_LMod4_Alc
42,121,49,-2.70769248902798,5.16453504562378,0.900861978530884,-4.146,left PreLimbic System_left,left_pre_limbic_system_left,LMod4_Alc,left_pre_limbic_system_left_LMod4_Alc
80,86,62,3.52820514142513,-0.573836863040924,3.03017230331898,-4.029,right Cornu Ammonis 3,right_cornu_ammonis_3,LMod4_Alc,right_cornu_ammonis_3_LMod4_Alc
27,36,31,-5.16923102736473,-8.77151101827621,-2.04741385579109,-3.868,left Granule Cell Level of the Cerebellum_left,left_granule_cell_level_of_the_cerebellum_left,LMod4_Alc,left_granule_cell_level_of_the_cerebellum_left_LMod4_Alc
92,94,31,5.49743597209454,0.737791001796722,-2.04741385579109,-3.715,right Entorhinal Cortex,right_entorhinal_cortex,LMod4_Alc,right_entorhinal_cortex_LMod4_Alc
51,169,61,-1.23076936602592,13.0343022346497,2.8663792014122,-3.556,left Glomerular Layer of the Olfactory Bulb_left,left_glomerular_layer_of_the_olfactory_bulb_left_2,LMod4_Alc,left_glomerular_layer_of_the_olfactory_bulb_left_2_LMod4_Alc
91,36,52,5.33333340287209,-8.77151101827621,1.39224128425121,-3.34,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum_3,LMod4_Alc,right_molecular_layer_of_the_cerebellum_3_LMod4_Alc
57,86,18,-0.246153950691223,-0.573836863040924,-4.17672418057919,-3.301,left Hypothalamic Region_left,left_hypothalamic_region_left,LMod4_Alc,left_hypothalamic_region_left_LMod4_Alc
61,47,54,0.410256326198578,-6.96802270412445,1.71982748806477,-2.91,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left_4,LMod4_Alc,left_molecular_layer_of_the_cerebellum_left_4_LMod4_Alc
98,57,34,6.48205138742924,-5.32848787307739,-1.55603455007076,-2.702,right Medial Entorhinal Cortex,right_medial_entorhinal_cortex,LMod4_Alc,right_medial_entorhinal_cortex_LMod4_Alc
71,68,33,2.05128201842308,-3.52499955892563,-1.71982765197754,-2.646,right Substantia Nigra,right_substantia_nigra,LMod4_Alc,right_substantia_nigra_LMod4_Alc
70,63,71,1.88717944920063,-4.34476697444916,4.50431022047997,5.596,right Retosplenial Dysgranular Cortex,right_retosplenial_dysgranular_cortex,LMod1_Str,right_retosplenial_dysgranular_cortex_LMod1_Str
91,114,47,5.33333340287209,4.01686066389084,0.573275774717331,5.451,right Dysgranular Insular Cortex,right_dysgranular_insular_cortex,LMod1_Str,right_dysgranular_insular_cortex_LMod1_Str
19,76,32,-6.48205158114433,-2.21337169408798,-1.88362075388432,5.291,left Lateral Entorhinal Cortex_left,left_lateral_entorhinal_cortex_left,LMod1_Str,left_lateral_entorhinal_cortex_left_LMod1_Str
85,42,30,4.34871798753738,-7.78779011964798,-2.21120695769787,5.117,right Granule Cell Level of the Cerebellum,right_granule_cell_level_of_the_cerebellum,LMod1_Str,right_granule_cell_level_of_the_cerebellum_LMod1_Str
101,77,31,6.97435909509659,-2.04941821098328,-2.04741385579109,4.799,right Lateral Entorhinal Cortex,right_lateral_entorhinal_cortex,LMod1_Str,right_lateral_entorhinal_cortex_LMod1_Str
64,148,57,0.902564033865929,9.59127908945084,2.2112067937851,4.739,right Olfactory Bulb,right_olfactory_bulb,LMod1_Str,right_olfactory_bulb_LMod1_Str
36,42,30,-3.69230790436268,-7.78779011964798,-2.21120695769787,4.58,left Granule Cell Level of the Cerebellum_left,left_granule_cell_level_of_the_cerebellum_left,LMod1_Str,left_granule_cell_level_of_the_cerebellum_left_LMod1_Str
68,101,73,1.55897431075573,1.88546538352966,4.83189642429352,4.452,right Secondary Motor Cortex,right_secondary_motor_cortex,LMod1_Str,right_secondary_motor_cortex_LMod1_Str
38,82,54,-3.36410276591778,-1.22965079545975,1.71982748806477,4.434,left Thalamus_left ,left_thalamus_left,LMod1_Str,left_thalamus_left_LMod1_Str
30,53,57,-4.67692331969738,-5.98430180549622,2.2112067937851,4.195,left Retosplenial Dysgranular Cortex_left,left_retosplenial_dysgranular_cortex_left,LMod1_Str,left_retosplenial_dysgranular_cortex_left_LMod1_Str
95,56,52,5.98974367976189,-5.4924413561821,1.39224128425121,3.874,right Lateral Entorhinal Cortex,right_lateral_entorhinal_cortex_2,LMod1_Str,right_lateral_entorhinal_cortex_2_LMod1_Str
45,106,58,-2.21538478136063,2.70523279905319,2.37499989569187,3.743,left Striatum_left,left_striatum_left,LMod1_Str,left_striatum_left_LMod1_Str
51,169,61,-1.23076936602592,13.0343022346497,2.8663792014122,3.071,left Glomerular Layer of the Olfactory Bulb_left,left_glomerular_layer_of_the_olfactory_bulb_left,LMod1_Str,left_glomerular_layer_of_the_olfactory_bulb_left_LMod1_Str
