d1,d2,d3,x,y,z,value,label
79,51,41,3.36410257220268,-6.31220877170563,-0.409482836723328,7.465,right Molecular Layer of the Cerebellum
37,70,37,-3.52820533514023,-3.19709259271622,-1.06465524435043,6.745,left Dentate Gyrus_left
32,131,64,-4.34871818125248,6.80406987667084,3.35775850713253,6.278,left Orbitofrontal Region_left
85,24,62,4.34871798753738,-10.7389528155327,3.03017230331898,5.87,right Molecular Layer of the Cerebellum
58,131,50,-0.0820513814687729,6.80406987667084,1.06465508043766,5.515,left Olfactory Bulb_left
60,17,61,0.246153756976128,-11.8866271972656,2.8663792014122,5.455,left Molecular Layer of the Cerebellum_left
20,103,43,-6.31794901192188,2.21337234973907,-0.0818966329097748,5.304,left Dysgranular Insular Cortex_left
65,87,46,1.06666660308838,-0.409883379936218,0.409482672810555,5.158,right Thalamus 
57,163,67,-0.246153950691223,12.0505813360214,3.84913781285286,4.929,left Glomerular Layer of the Olfactory Bulb_left
52,114,79,-1.06666679680347,4.01686066389084,5.81465503573418,4.705,left Secondary Motor Cortex_left
39,31,66,-3.20000019669533,-9.59127843379974,3.68534471094608,4.114,left Molecular Layer of the Cerebellum_left
65,82,21,1.06666660308838,-1.22965079545975,-3.68534487485886,4.039,right Hypothalamic Region
46,80,60,-2.05128221213818,-1.55755776166916,2.70258609950542,3.892,left Dentate Gyrus_left
83,135,59,4.02051284909248,7.45988380908966,2.53879299759865,3.881,right Dorso Lateral Orbital Cortex
70,53,66,1.88717944920063,-5.98430180549622,3.68534471094608,3.427,right Retosplenial Dysgranular Cortex
96,76,22,6.15384624898434,-2.21337169408798,-3.52155177295208,3.231,right Amygdalopiriform Cortex
34,33,39,-4.02051304280758,-9.26337146759033,-0.73706904053688,3.23,left Molecular Layer of the Cerebellum_left
67,151,54,1.39487174153328,10.083139538765,1.71982748806477,-6.198,right Olfactory Bulb
46,103,72,-2.05128221213818,2.21337234973907,4.66810332238674,-5.605,left Primary Motor Cortex_left
25,88,43,-5.49743616580963,-0.245929896831512,-0.0818966329097748,-5.546,left Posterior Agralunar Insular Cortex_left
69,65,73,1.72307687997818,-4.01686000823975,4.83189642429352,-5.397,right Retosplenial Dysgranular Cortex
91,113,47,5.33333340287209,3.85290718078613,0.573275774717331,-5.189,right Dysgranular Insular Cortex
30,53,57,-4.67692331969738,-5.98430180549622,2.2112067937851,-4.964,left Retosplenial Dysgranular Cortex_left
70,117,68,1.88717944920063,4.50872111320496,4.01293091475964,-4.526,right Primary Motor Cortex
42,121,49,-2.70769248902798,5.16453504562378,0.900861978530884,-4.146,left PreLimbic System_left
80,86,62,3.52820514142513,-0.573836863040924,3.03017230331898,-4.029,right Cornu Ammonis 3
27,36,31,-5.16923102736473,-8.77151101827621,-2.04741385579109,-3.868,left Granule Cell Level of the Cerebellum_left
92,94,31,5.49743597209454,0.737791001796722,-2.04741385579109,-3.715,right Entorhinal Cortex
51,169,61,-1.23076936602592,13.0343022346497,2.8663792014122,-3.556,left Glomerular Layer of the Olfactory Bulb_left
91,36,52,5.33333340287209,-8.77151101827621,1.39224128425121,-3.34,right Molecular Layer of the Cerebellum
57,86,18,-0.246153950691223,-0.573836863040924,-4.17672418057919,-3.301,left Hypothalamic Region_left
61,47,54,0.410256326198578,-6.96802270412445,1.71982748806477,-2.91,left Molecular Layer of the Cerebellum_left
98,57,34,6.48205138742924,-5.32848787307739,-1.55603455007076,-2.702,right Medial Entorhinal Cortex
71,68,33,2.05128201842308,-3.52499955892563,-1.71982765197754,-2.646,right Substantia Nigra
