d1,d2,d3,x,y,z,value,label
67,86,51,1.39487174153328,-0.573836863040924,1.22844818234444,5.785,right Thalamus 
57,15,60,-0.246153950691223,-12.214534163475,2.70258609950542,4.775,left Molecular Layer of the Cerebellum_left
101,43,30,6.97435909509659,-7.62383663654327,-2.21120695769787,4.625,right Granule Cell Level of the Cerebellum
37,44,32,-3.52820533514023,-7.45988315343857,-1.88362075388432,4.434,left Granule Cell Level of the Cerebellum_left
105,73,33,7.63076937198639,-2.7052321434021,-1.71982765197754,4.425,right Lateral Entorhinal Cortex
67,116,48,1.39487174153328,4.34476763010025,0.737068876624107,4.397,right Striatum
35,100,52,-3.85641047358513,1.72151190042496,1.39224128425121,4.331,left Striatum_left
71,20,37,2.05128201842308,-11.3947667479515,-1.06465524435043,3.991,right Granule Cell Level of the Cerebellum
73,51,42,2.37948715686798,-6.31220877170563,-0.245689734816551,3.804,right Molecular Layer of the Cerebellum
17,77,36,-6.81025671958923,-2.04941821098328,-1.22844834625721,3.574,left Lateral Entorhinal Cortex_left
43,58,56,-2.54358991980553,-5.16453438997269,2.04741369187832,3.497,left Parasubiculum_left
42,112,70,-2.70769248902798,3.68895369768143,4.34051711857319,-4.96,left Primary Motor Cortex_left
22,89,45,-5.98974387347698,-0.0819764137268066,0.245689570903778,-4.942,left Dysgranular Insular Cortex_left
41,60,24,-2.87179505825043,-4.83662742376328,-3.19396556913853,-4.585,left Middle Cerebellar Peduncle_left 
64,160,53,0.902564033865929,11.5587208867073,1.55603438615799,-4.368,right Glomerular Layer of the Olfactory Bulb
78,64,22,3.20000000298023,-4.18081349134445,-3.52155177295208,-4.332,right Middle Cerebellar Peduncle 
62,74,61,0.574358895421028,-2.54127866029739,2.8663792014122,-4.296,right Subiculum
77,103,27,3.03589743375778,2.21337234973907,-2.7025862634182,-4.224,right Entorhinal Cortex
28,34,31,-5.00512845814228,-9.09941798448563,-2.04741385579109,-4.133,left Granule Cell Level of the Cerebellum_left
37,115,45,-3.52820533514023,4.18081414699554,0.245689570903778,-3.524,left Agranular Insular Cortex_left
