d1,d2,d3,x,y,z,value,label
31,38,56,-4.51282075047493,-8.4436040520668,2.04741369187832,6.147,left Molecular Layer of the Cerebellum_left
77,82,46,3.03589743375778,-1.22965079545975,0.409482672810555,6.042,right Thalamus 
84,47,38,4.18461541831493,-6.96802270412445,-0.900862142443657,5.592,right Granule Cell Level of the Cerebellum
50,161,69,-1.39487193524837,11.722674369812,4.17672401666641,5.273,left Olfactory Bulb_left
54,63,63,-0.738461658358574,-4.34476697444916,3.19396540522575,4.949,left Retrosplenial Granular Cortex Part A_left
41,51,31,-2.87179505825043,-6.31220877170563,-2.04741385579109,4.85,left Middle Cerebellar Peduncle_left 
56,82,20,-0.410256519913673,-1.22965079545975,-3.84913797676563,4.762,left Hypothalamic Region_left
86,33,64,4.51282055675983,-9.26337146759033,3.35775850713253,4.691,right Molecular Layer of the Cerebellum
48,115,53,-1.72307707369328,4.18081414699554,1.55603438615799,4.364,left Striatum_left
59,91,70,0.0820511877536774,0.245930552482605,4.34051711857319,4.273,left Retosplenial Dysgranular Cortex_left
61,141,54,0.410256326198578,8.4436047077179,1.71982748806477,4.096,right Olfactory Bulb
65,20,53,1.06666660308838,-11.3947667479515,1.55603438615799,3.488,right Molecular Layer of the Cerebellum
45,79,43,-2.21538478136063,-1.72151124477386,-0.0818966329097748,3.286,left Thalamus_left 
84,122,73,4.18461541831493,5.32848852872849,4.83189642429352,2.936,right Orbitofrontal Region
89,111,40,5.00512826442719,3.52500021457672,-0.573275938630104,2.655,right Agranular Insular Cortex
66,81,54,1.23076917231083,-1.39360427856445,1.71982748806477,-6.451,right Dentate Gyrus
89,73,30,5.00512826442719,-2.7052321434021,-2.21120695769787,-6.371,right Lateral Entorhinal Cortex external part
39,81,62,-3.20000019669533,-1.39360427856445,3.03017230331898,-6.031,left Cornu Ammonis 3_left
28,124,50,-5.00512845814228,5.6563954949379,1.06465508043766,-5.9,left Agranular Insular Cortex_left
41,73,36,-2.87179505825043,-2.7052321434021,-1.22844834625721,-5.452,left Cornu Ammonis 3_left
57,55,74,-0.246153950691223,-5.6563948392868,4.99568952620029,-5.083,left Retosplenial Dysgranular Cortex_left
60,99,34,0.246153756976128,1.55755841732025,-1.55603455007076,-4.985,right Hypothalamic Region
24,50,51,-5.66153873503208,-6.47616225481033,1.22844818234444,-4.551,left Presubiculum_left
82,46,63,3.85641027987003,-7.13197618722916,3.19396540522575,-4.251,right Retosplenial Dysgranular Cortex
63,169,60,0.738461464643478,13.0343022346497,2.70258609950542,-3.93,right Glomerular Layer of the Olfactory Bulb
84,37,28,4.18461541831493,-8.60755753517151,-2.53879316151142,-3.877,right Molecular Layer of the Cerebellum
35,38,30,-3.85641047358513,-8.4436040520668,-2.21120695769787,-3.795,left Granule Cell Level of the Cerebellum_left
84,112,55,4.18461541831493,3.68895369768143,1.88362058997154,-3.453,right Striatum
57,93,79,-0.246153950691223,0.573837518692017,5.81465503573418,-3.452,left Secondary Motor Cortex_left
89,70,61,5.00512826442719,-3.19709259271622,2.8663792014122,-3.331,right Cornu Ammonis 1
58,130,69,-0.0820513814687729,6.64011639356613,4.17672401666641,-3.063,left Primary Cingular Cortex_left
59,44,36,0.0820511877536774,-7.45988315343857,-1.22844834625721,-2.973,left Molecular Layer of the Cerebellum_left
56,16,64,-0.410256519913673,-12.0505806803703,3.35775850713253,-2.955,left Molecular Layer of the Cerebellum_left
57,137,44,-0.246153950691223,7.78779077529907,0.0818964689970016,-2.898,left Olfactory Bulb_left
104,91,42,7.46666680276394,0.245930552482605,-0.245689734816551,-2.619,right Dysgranular Insular Cortex
