d1,d2,d3,x,y,z,value,label
31,69,31,-4.51282075047493,-3.36104607582092,-2.04741385579109,6.412,left Amygdalopiriform Cortex_left
92,36,42,5.49743597209454,-8.77151101827621,-0.245689734816551,6.387,right Granule Cell Level of the Cerebellum
81,76,32,3.69230771064758,-2.21337169408798,-1.88362075388432,5.176,right Cornu Ammonis 3
61,51,42,0.410256326198578,-6.31220877170563,-0.245689734816551,5.026,right Molecular Layer of the Cerebellum
39,84,63,-3.20000019669533,-0.901743829250336,3.19396540522575,4.494,left Cornu Ammonis 3_left
64,114,47,0.902564033865929,4.01686066389084,0.573275774717331,4.491,right Striatum
62,86,50,0.574358895421028,-0.573836863040924,1.06465508043766,4.056,right Dentate Gyrus
59,148,48,0.0820511877536774,9.59127908945084,0.737068876624107,4.012,right Glomerular Layer of the Olfactory Bulb
49,123,73,-1.55897450447083,5.49244201183319,4.83189642429352,3.93,left Primary Motor Cortex_left
54,17,40,-0.738461658358574,-11.8866271972656,-0.573275938630104,3.427,left Molecular Layer of the Cerebellum_left
41,51,33,-2.87179505825043,-6.31220877170563,-1.71982765197754,-5.136,left Middle Cerebellar Peduncle_left 
49,80,30,-1.55897450447083,-1.55755776166916,-2.21120695769787,-4.883,left Hypothalamic Region_left
80,104,56,3.52820514142513,2.37732583284378,2.04741369187832,-4.48,right Striatum
32,100,26,-4.34871818125248,1.72151190042496,-2.86637936532497,-4.33,left Entorhinal Cortex_left
67,29,68,1.39487174153328,-9.91918540000916,4.01293091475964,-4.295,right Molecular Layer of the Cerebellum
80,64,44,3.52820514142513,-4.18081349134445,0.0818964689970016,-4.281,right Perirhinal Area 35
45,70,52,-2.21538478136063,-3.19709259271622,1.39224128425121,-4.257,left Thalamus_left 
41,32,64,-2.87179505825043,-9.42732495069504,3.35775850713253,-4.207,left Molecular Layer of the Cerebellum_left
96,102,32,6.15384624898434,2.04941886663437,-1.88362075388432,-3.956,right Entorhinal Cortex
33,113,52,-4.18461561203003,3.85290718078613,1.39224128425121,-3.895,left Dysgranular Insular Cortex_left
45,87,76,-2.21538478136063,-0.409883379936218,5.32327573001385,-3.841,left Primary Motor Cortex_left
65,44,48,1.06666660308838,-7.45988315343857,0.737068876624107,-3.696,right Molecular Layer of the Cerebellum
67,97,29,1.39487174153328,1.22965145111084,-2.37500005960464,-3.606,right Hypothalamic Region
