d1,d2,d3,x,y,z,value,label
88,58,40,4.84102569520473,-5.16453438997269,-0.573275938630104,7.46,right Perirhinal Area 36
37,45,32,-3.52820533514023,-7.29592967033386,-1.88362075388432,6.272,left Granule Cell Level of the Cerebellum_left
77,84,47,3.03589743375778,-0.901743829250336,0.573275774717331,5.987,right Thalamus 
44,156,61,-2.37948735058308,10.9029069542885,2.8663792014122,5.662,left Glomerular Layer of the Olfactory Bulb_left
79,25,41,3.36410257220268,-10.574999332428,-0.409482836723328,4.829,right Molecular Layer of the Cerebellum
54,85,66,-0.738461658358574,-0.73779034614563,3.68534471094608,4.376,left Cornu Ammonis 1_left
60,114,65,0.246153756976128,4.01686066389084,3.52155160903931,4.034,right Secondary Cingular Cortex
66,145,49,1.23076917231083,9.09941864013672,0.900861978530884,3.91,right Olfactory Bulb
22,79,33,-5.98974387347698,-1.72151124477386,-1.71982765197754,3.837,left Lateral Entorhinal Cortex_left
97,102,43,6.31794881820679,2.04941886663437,-0.0818966329097748,3.314,right Dysgranular Insular Cortex
46,36,58,-2.05128221213818,-8.77151101827621,2.37499989569187,3.275,left Granule Cell Level of the Cerebellum_left
66,25,70,1.23076917231083,-10.574999332428,4.34051711857319,2.95,right Molecular Layer of the Cerebellum
49,92,25,-1.55897450447083,0.409884035587311,-3.03017246723175,-7.239,left Hypothalamic Region_left
74,44,67,2.54358972609043,-7.45988315343857,3.84913781285286,-5.93,right Molecular Layer of the Cerebellum
32,112,51,-4.34871818125248,3.68895369768143,1.22844818234444,-5.811,left Dysgranular Insular Cortex_left
40,46,64,-3.03589762747288,-7.13197618722916,3.35775850713253,-5.688,left Retosplenial Dysgranular Cortex_left
71,136,66,2.05128201842308,7.62383729219437,3.68534471094608,-5.193,right Frontal Association Cortex
62,90,47,0.574358895421028,0.0819770693778992,0.573275774717331,-5.044,right Dentate Gyrus
78,73,32,3.20000000298023,-2.7052321434021,-1.88362075388432,-4.91,right Dentate Gyrus
105,62,40,7.63076937198639,-4.50872045755386,-0.573275938630104,-4.829,right Lateral Entorhinal Cortex
83,112,56,4.02051284909248,3.68895369768143,2.04741369187832,-4.213,right Striatum
48,170,65,-1.72307707369328,13.1982557177544,3.52155160903931,-4.155,left Glomerular Layer of the Olfactory Bulb_left
80,95,20,3.52820514142513,0.901744484901428,-3.84913797676563,-4.041,right Entorhinal Cortex
49,16,51,-1.55897450447083,-12.0505806803703,1.22844818234444,-4.034,left Molecular Layer of the Cerebellum_left
52,94,80,-1.06666679680347,0.737791001796722,5.97844813764095,-3.962,left Primary Motor Cortex_left
57,130,40,-0.246153950691223,6.64011639356613,-0.573275938630104,-3.682,left Olfactory Bulb_left
86,19,46,4.51282055675983,-11.5587202310562,0.409482672810555,-3.617,right Molecular Layer of the Cerebellum
46,69,33,-2.05128221213818,-3.36104607582092,-1.71982765197754,-3.387,left Substantia Nigra_left
66,68,78,1.23076917231083,-3.52499955892563,5.6508619338274,-3.338,right Retosplenial Dysgranular Cortex
44,77,60,-2.37948735058308,-2.04941821098328,2.70258609950542,-2.97,left Dentate Gyrus_left
46,135,67,-2.05128221213818,7.45988380908966,3.84913781285286,-2.854,left Frontal Association Cortex_left
95,44,54,5.98974367976189,-7.45988315343857,1.71982748806477,-2.781,right Molecular Layer of the Cerebellum
