d1,d2,d3,x,y,z,value,label
70,63,71,1.88717944920063,-4.34476697444916,4.50431022047997,5.596,right Retosplenial Dysgranular Cortex
91,114,47,5.33333340287209,4.01686066389084,0.573275774717331,5.451,right Dysgranular Insular Cortex
19,76,32,-6.48205158114433,-2.21337169408798,-1.88362075388432,5.291,left Lateral Entorhinal Cortex_left
85,42,30,4.34871798753738,-7.78779011964798,-2.21120695769787,5.117,right Granule Cell Level of the Cerebellum
101,77,31,6.97435909509659,-2.04941821098328,-2.04741385579109,4.799,right Lateral Entorhinal Cortex
64,148,57,0.902564033865929,9.59127908945084,2.2112067937851,4.739,right Olfactory Bulb
36,42,30,-3.69230790436268,-7.78779011964798,-2.21120695769787,4.58,left Granule Cell Level of the Cerebellum_left
68,101,73,1.55897431075573,1.88546538352966,4.83189642429352,4.452,right Secondary Motor Cortex
38,82,54,-3.36410276591778,-1.22965079545975,1.71982748806477,4.434,left Thalamus_left 
30,53,57,-4.67692331969738,-5.98430180549622,2.2112067937851,4.195,left Retosplenial Dysgranular Cortex_left
95,56,52,5.98974367976189,-5.4924413561821,1.39224128425121,3.874,right Lateral Entorhinal Cortex
45,106,58,-2.21538478136063,2.70523279905319,2.37499989569187,3.743,left Striatum_left
51,169,61,-1.23076936602592,13.0343022346497,2.8663792014122,3.071,left Glomerular Layer of the Olfactory Bulb_left
83,83,65,4.02051284909248,-1.06569731235504,3.52155160903931,2.977,right Cornu Ammonis 1
31,63,36,-4.51282075047493,-4.34476697444916,-1.22844834625721,-8.256,left Perirhinal Area 36_left
36,133,55,-3.69230790436268,7.13197684288025,1.88362058997154,-6.634,left Dorso Lateral Orbital Cortex_left
81,71,35,3.69230771064758,-3.03313910961151,-1.39224144816399,-6.319,right Dentate Gyrus
60,75,60,0.246153756976128,-2.37732517719269,2.70258609950542,-6.246,left Subiculum_left
79,134,53,3.36410257220268,7.29593032598495,1.55603438615799,-6.207,right Dorso Lateral Orbital Cortex
57,158,55,-0.246153950691223,11.2308139204979,1.88362058997154,-5.305,left Glomerular Layer of the Olfactory Bulb_left
58,110,71,-0.0820513814687729,3.36104673147202,4.50431022047997,-5.115,left Primary Cingular Cortex_left
50,25,68,-1.39487193524837,-10.574999332428,4.01293091475964,-4.971,left Molecular Layer of the Cerebellum_left
63,100,26,0.738461464643478,1.72151190042496,-2.86637936532497,-4.547,right Hypothalamic Region
79,27,66,3.36410257220268,-10.2470923662186,3.68534471094608,-4.454,right Molecular Layer of the Cerebellum
32,30,38,-4.34871818125248,-9.75523191690445,-0.900862142443657,-4.178,left Granule Cell Level of the Cerebellum_left
87,33,36,4.67692312598228,-9.26337146759033,-1.22844834625721,-3.933,right Molecular Layer of the Cerebellum
49,79,28,-1.55897450447083,-1.72151124477386,-2.53879316151142,-3.931,left Hypothalamic Region_left
102,103,41,7.13846166431904,2.21337234973907,-0.409482836723328,-3.029,right Dysgranular Insular Cortex
28,99,47,-5.00512845814228,1.55755841732025,0.573275774717331,-2.977,left Dysgranular Insular Cortex_left
57,135,68,-0.246153950691223,7.45988380908966,4.01293091475964,-2.855,left Frontal Association Cortex_left
