d1,d2,d3,x,y,z,value,label
24,39,40,-5.66153873503208,-8.2796505689621,-0.573275938630104,8.202,left Molecular Layer of the Cerebellum_left
28,89,35,-5.00512845814228,-0.0819764137268066,-1.39224144816399,7.505,left Entorhinal Cortex_left
74,64,71,2.54358972609043,-4.18081349134445,4.50431022047997,5.878,right Retosplenial Dysgranular Cortex
44,106,71,-2.37948735058308,2.70523279905319,4.50431022047997,5.803,left Primary Motor Cortex_left
56,35,55,-0.410256519913673,-8.93546450138092,1.88362058997154,5.613,left Molecular Layer of the Cerebellum_left
33,63,62,-4.18461561203003,-4.34476697444916,3.03017230331898,5.599,left Cornu Ammonis 1_left
76,108,69,2.87179486453533,3.0331397652626,4.17672401666641,5.471,right Primary Motor Cortex
68,147,67,1.55897431075573,9.42732560634613,3.84913781285286,5.356,right Olfactory Bulb
27,111,48,-5.16923102736473,3.52500021457672,0.737068876624107,4.932,left Dysgranular Insular Cortex_left
74,72,27,2.54358972609043,-2.86918562650681,-2.7025862634182,4.778,right Dentate Gyrus
93,41,38,5.66153854131699,-7.95174360275269,-0.900862142443657,4.333,right Molecular Layer of the Cerebellum
90,90,46,5.16923083364964,0.0819770693778992,0.409482672810555,3.156,right Striatum
83,113,31,4.02051284909248,3.85290718078613,-2.04741385579109,3.149,right Entorhinal Cortex
39,59,28,-3.20000019669533,-5.00058090686798,-2.53879316151142,2.971,left Middle Cerebellar Peduncle_left 
71,37,68,2.05128201842308,-8.60755753517151,4.01293091475964,-7.925,right Molecular Layer of the Cerebellum
60,90,44,0.246153756976128,0.0819770693778992,0.0818964689970016,-7.35,right Hypothalamic Region
37,72,39,-3.52820533514023,-2.86918562650681,-0.73706904053688,-7.22,left Dentate Gyrus_left
29,126,65,-4.84102588891983,5.98430246114731,3.52155160903931,-6.875,left Primary Motor Cortex_left
84,82,35,4.18461541831493,-1.22965079545975,-1.39224144816399,-6.23,right Cornu Ammonis 3
58,162,65,-0.0820513814687729,11.8866278529167,3.52155160903931,-6.03,right Glomerular Layer of the Olfactory Bulb
59,122,47,0.0820511877536774,5.32848852872849,0.573275774717331,-6.028,right PreLimbic System
45,29,68,-2.21538478136063,-9.91918540000916,4.01293091475964,-5.587,left Molecular Layer of the Cerebellum_left
85,52,39,4.34871798753738,-6.14825528860092,-0.73706904053688,-5.094,right Middle Cerebellar Peduncle 
58,18,43,-0.0820513814687729,-11.7226737141609,-0.0818966329097748,-5.091,left Molecular Layer of the Cerebellum_left
46,57,60,-2.05128221213818,-5.32848787307739,2.70258609950542,-4.996,left Parasubiculum_left
34,103,54,-4.02051304280758,2.21337234973907,1.71982748806477,-4.65,left Striatum_left
83,135,58,4.02051284909248,7.45988380908966,2.37499989569187,-4.575,right Dorso Lateral Orbital Cortex
16,92,41,-6.97435928881168,0.409884035587311,-0.409482836723328,-4.513,left Dysgranular Insular Cortex_left
83,110,54,4.02051284909248,3.36104673147202,1.71982748806477,-4.295,right Striatum
90,25,58,5.16923083364964,-10.574999332428,2.37499989569187,-3.479,right Molecular Layer of the Cerebellum
44,44,38,-2.37948735058308,-7.45988315343857,-0.900862142443657,-3.338,left Granule Cell Level of the Cerebellum_left
47,87,81,-1.88717964291573,-0.409883379936218,6.14224123954773,-3.028,left Primary Motor Cortex_left
100,101,38,6.81025652587414,1.88546538352966,-0.900862142443657,-2.987,right Posterior Agralunar Insular Cortex
55,114,79,-0.574359089136124,4.01686066389084,5.81465503573418,-2.976,left Primary Cingular Cortex_left
