contrast,Phase,Sex,Session,estimate,SE,lower.CL,upper.CL,p.value
Alc - (Alc+Str),Model,male,17,0.04,0.01,0.01,0.07,0.01
Alc - (Alc+Str),Model,male,18,0.03,0.01,0,0.06,0.05
Alc - (Alc+Str),Model,male,19,0.03,0.01,0,0.06,0.04
Alc - (Alc+Str),Relapse,male,11,0.04,0.02,0,0.07,0.03
Alc - (Alc+Str),Relapse,male,12,0.04,0.02,0.01,0.08,0.01
Alc - (Alc+Str),Relapse,male,13,0.03,0.02,0,0.07,0.05
Alc - (Alc+Str),Relapse,male,14,0.04,0.02,0,0.07,0.03
Alc - (Alc+Str),Relapse,male,15,0.03,0.02,0,0.07,0.04
