RID,Group,Sex,Batch,Time_seg,Place,Stage,Time
sub-087,Ctrl,male,B5,306,Dark,T2,Test
sub-087,Ctrl,male,B5,417,White,T2,Test
sub-119,Str,female,B6,273.67,Dark,T2,Test
sub-119,Str,female,B6,302.79,White,T2,Test
sub-123,Str,female,B6,528.15,Dark,T2,Test
sub-123,Str,female,B6,522.76,White,T2,Test
sub-124,Alc,male,B6,578.42,Dark,T2,Test
sub-124,Alc,male,B6,529.22,White,T2,Test
sub-128,Str,male,B6,844.54,Dark,T2,Test
sub-128,Str,male,B6,454.03,White,T2,Test
sub-134,Str,male,B6,684.3,Dark,T2,Test
sub-134,Str,male,B6,424.18,White,T2,Test
sub-135,Alc,male,B6,387.98,Dark,T2,Test
sub-135,Alc,male,B6,315.84,White,T2,Test
sub-137,Str,female,B7,NA,Dark,T2,Test
sub-137,Str,female,B7,NA,White,T2,Test
sub-139,Alc+Str,female,B7,288,Dark,T2,Test
sub-139,Alc+Str,female,B7,524,White,T2,Test
sub-141,Alc+Str,female,B7,382.8,Dark,T2,Test
sub-141,Alc+Str,female,B7,502.8,White,T2,Test
sub-144,Str,female,B7,623.02,Dark,T2,Test
sub-144,Str,female,B7,472.04,White,T2,Test
sub-145,Str,female,B7,NA,Dark,T2,Test
sub-145,Str,female,B7,NA,White,T2,Test
sub-147,Ctrl,male,B7,183.6,Dark,T2,Test
sub-147,Ctrl,male,B7,513.6,White,T2,Test
sub-148,Str,male,B7,399.43,Dark,T2,Test
sub-148,Str,male,B7,809.76,White,T2,Test
sub-151,Str,male,B7,483.95,Dark,T2,Test
sub-151,Str,male,B7,381.75,White,T2,Test
sub-152,Alc+Str,male,B7,NA,Dark,T2,Test
sub-152,Alc+Str,male,B7,NA,White,T2,Test
sub-153,Alc+Str,male,B7,614.4,Dark,T2,Test
sub-153,Alc+Str,male,B7,786,White,T2,Test
sub-154,Str,male,B7,267.98,Dark,T2,Test
sub-154,Str,male,B7,610.53,White,T2,Test
sub-155,Alc+Str,male,B7,488.8,Dark,T2,Test
sub-155,Alc+Str,male,B7,423.58,White,T2,Test
sub-156,Alc+Str,female,B8,289.2,Dark,T2,Test
