contrast,Sex,estimate,SE,df,t.ratio,p.value,p.value.signif
Alc - Str,female,0.08,0.03,77.98,2.51,0.04,*
Str - AlcStr,female,-0.09,0.03,73.87,-2.98,0.02,*
