Date,RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
23/05/2023,159,Alc+Str,female,47,2,1,0.136,H2O,start,125,123,Model,8
23/05/2023,160,Alc+Str,female,47,2,1,0.128,H2O,start,124,123,Model,8
23/05/2023,161,Alc+Str,female,47,2,1,0.15,H2O,start,124,123,Model,8
23/05/2023,162,Alc+Str,female,47,2,1,0.17,H2O,start,124,123,Model,8
23/05/2023,164,Alc+Str,female,47,2,1,0.166,H2O,start,123,122,Model,8
23/05/2023,166,Alc+Str,female,47,2,1,0.148,H2O,start,124,121,Model,8
23/05/2023,167,Alc+Str,female,47,2,1,0.15,H2O,start,123,123,Model,8
23/05/2023,168,Alc+Str,male,47,2,1,0.229,H2O,start,124,121,Model,8
23/05/2023,169,Str,male,47,2,1,0.192,H2O,start,121,121,Model,8
23/05/2023,170,Alc+Str,male,47,2,1,0.218,H2O,start,122,121,Model,8
23/05/2023,172,Alc+Str,male,47,2,1,0.204,H2O,start,122,122,Model,8
23/05/2023,173,Alc+Str,male,47,2,1,0.183,H2O,start,123,122,Model,8
23/05/2023,174,Alc+Str,male,47,2,1,0.206,H2O,start,123,123,Model,8
23/05/2023,175,Str,male,47,2,1,0.185,H2O,start,124,123,Model,8
23/05/2023,176,Alc+Str,male,47,2,1,0.192,H2O,start,123,124,Model,8
23/05/2023,177,Alc+Str,male,47,2,1,0.206,H2O,start,123,123,Model,8
23/05/2023,156,Alc+Str,female,47,3,1,0.166,H2O,24_hrs,99,122,Model,8
23/05/2023,157,Alc+Str,female,47,3,1,0.17,H2O,24_hrs,95,121,Model,8
23/05/2023,158,Str,female,47,3,1,0.163,H2O,24_hrs,121,86,Model,8
23/05/2023,159,Alc+Str,female,47,3,1,0.136,H2O,24_hrs,124,94,Model,8
23/05/2023,160,Alc+Str,female,47,3,1,0.128,H2O,24_hrs,123,96,Model,8
23/05/2023,161,Alc+Str,female,47,3,1,0.15,H2O,24_hrs,123,98,Model,8
23/05/2023,162,Alc+Str,female,47,3,1,0.17,H2O,24_hrs,122,123,Model,8
23/05/2023,164,Alc+Str,female,47,3,1,0.166,H2O,24_hrs,99,122,Model,8
23/05/2023,166,Alc+Str,female,47,3,1,0.148,H2O,24_hrs,122,86,Model,8
23/05/2023,167,Alc+Str,female,47,3,1,0.15,H2O,24_hrs,97,117,Model,8
23/05/2023,168,Alc+Str,male,47,3,1,0.229,H2O,24_hrs,123,78,Model,8
23/05/2023,169,Str,male,47,3,1,0.192,H2O,24_hrs,119,89,Model,8
23/05/2023,170,Alc+Str,male,47,3,1,0.218,H2O,24_hrs,94,121,Model,8
23/05/2023,172,Alc+Str,male,47,3,1,0.204,H2O,24_hrs,103,119,Model,8
23/05/2023,173,Alc+Str,male,47,3,1,0.183,H2O,24_hrs,123,121,Model,8
23/05/2023,174,Alc+Str,male,47,3,1,0.206,H2O,24_hrs,121,83,Model,8
23/05/2023,175,Str,male,47,3,1,0.185,H2O,24_hrs,99,122,Model,8
23/05/2023,176,Alc+Str,male,47,3,1,0.192,H2O,24_hrs,105,116,Model,8
23/05/2023,177,Alc+Str,male,47,3,1,0.206,H2O,24_hrs,123,121,Model,8
24/05/2023,156,Alc+Str,female,48,3,2,0.17,EtOH,start,123,123,Model,8
24/05/2023,157,Alc+Str,female,48,3,2,0.177,EtOH,start,119,124,Model,8
24/05/2023,158,Str,female,48,3,2,0.179,EtOH,start,124,122,Model,8
24/05/2023,159,Alc+Str,female,48,3,2,0.15,EtOH,start,119,124,Model,8
24/05/2023,160,Alc+Str,female,48,3,2,0.14,EtOH,start,118,124,Model,8
24/05/2023,161,Alc+Str,female,48,3,2,0.168,EtOH,start,122,122,Model,8
24/05/2023,162,Alc+Str,female,48,3,2,0.157,EtOH,start,121,125,Model,8
24/05/2023,164,Alc+Str,female,48,3,2,0.188,EtOH,start,119,124,Model,8
24/05/2023,166,Alc+Str,female,48,3,2,0.16,EtOH,start,118,125,Model,8
24/05/2023,167,Alc+Str,female,48,3,2,0.157,EtOH,start,119,123,Model,8
24/05/2023,168,Alc+Str,male,48,3,2,0.24,EtOH,start,122,127,Model,8
24/05/2023,169,Str,male,48,3,2,0.199,EtOH,start,124,128,Model,8
24/05/2023,170,Alc+Str,male,48,3,2,0.223,EtOH,start,122,123,Model,8
24/05/2023,172,Alc+Str,male,48,3,2,0.218,EtOH,start,120,125,Model,8
24/05/2023,173,Alc+Str,male,48,3,2,0.168,EtOH,start,124,127,Model,8
24/05/2023,174,Alc+Str,male,48,3,2,0.206,EtOH,start,120,126,Model,8
24/05/2023,175,Str,male,48,3,2,0.19,EtOH,start,125,123,Model,8
24/05/2023,176,Alc+Str,male,48,3,2,0.198,EtOH,start,122,127,Model,8
24/05/2023,177,Alc+Str,male,48,3,2,0.19,EtOH,start,121,123,Model,8
24/05/2023,156,Alc+Str,female,48,3,2,0.17,EtOH,30_mins,123,123,Model,8
24/05/2023,157,Alc+Str,female,48,3,2,0.177,EtOH,30_mins,120,124,Model,8
24/05/2023,158,Str,female,48,3,2,0.179,EtOH,30_mins,124,124,Model,8
24/05/2023,159,Alc+Str,female,48,3,2,0.15,EtOH,30_mins,119,124,Model,8
24/05/2023,160,Alc+Str,female,48,3,2,0.14,EtOH,30_mins,119,122,Model,8
24/05/2023,161,Alc+Str,female,48,3,2,0.168,EtOH,30_mins,123,123,Model,8
24/05/2023,162,Alc+Str,female,48,3,2,0.157,EtOH,30_mins,118,124,Model,8
24/05/2023,164,Alc+Str,female,48,3,2,0.188,EtOH,30_mins,118,124,Model,8
24/05/2023,166,Alc+Str,female,48,3,2,0.16,EtOH,30_mins,118,124,Model,8
24/05/2023,167,Alc+Str,female,48,3,2,0.157,EtOH,30_mins,120,124,Model,8
24/05/2023,168,Alc+Str,male,48,3,2,0.24,EtOH,30_mins,121,126,Model,8
24/05/2023,169,Str,male,48,3,2,0.199,EtOH,30_mins,122,124,Model,8
24/05/2023,170,Alc+Str,male,48,3,2,0.223,EtOH,30_mins,119,123,Model,8
24/05/2023,172,Alc+Str,male,48,3,2,0.218,EtOH,30_mins,119,118,Model,8
24/05/2023,173,Alc+Str,male,48,3,2,0.168,EtOH,30_mins,120,126,Model,8
24/05/2023,174,Alc+Str,male,48,3,2,0.206,EtOH,30_mins,117,126,Model,8
24/05/2023,175,Str,male,48,3,2,0.19,EtOH,30_mins,123,123,Model,8
24/05/2023,176,Alc+Str,male,48,3,2,0.198,EtOH,30_mins,121,119,Model,8
