RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
17,Alc,female,47,1,1,0.173,EtOH,start,122,122,Model,2
18,Alc,female,47,1,1,0.167,EtOH,start,122,125,Model,2
19,Alc,female,47,1,1,0.148,EtOH,start,122,123,Model,2
20,Alc,female,47,1,1,0.191,EtOH,start,122,123,Model,2
21,Ctrl,female,47,1,1,0.186,EtOH,start,123,123,Model,2
22,Alc,female,47,1,1,0.154,EtOH,start,122,123,Model,2
23,Ctrl,female,47,1,1,0.166,EtOH,start,123,123,Model,2
24,Alc,female,47,1,1,0.155,EtOH,start,119,124,Model,2
25,Alc,male,47,1,1,0.197,EtOH,start,120,123,Model,2
26,Alc,male,47,1,1,0.239,EtOH,start,121,125,Model,2
28,Ctrl,male,47,1,1,0.21,EtOH,start,124,123,Model,2
29,Alc,male,47,1,1,0.2,EtOH,start,122,123,Model,2
30,Alc,male,47,1,1,0.248,EtOH,start,124,123,Model,2
31,Ctrl,male,47,1,1,0.206,EtOH,start,124,125,Model,2
32,Alc,male,47,1,1,0.183,EtOH,start,122,123,Model,2
17,Alc,female,47,1,1,0.173,EtOH,30_mins,122,122,Model,2
18,Alc,female,47,1,1,0.167,EtOH,30_mins,122,124,Model,2
19,Alc,female,47,1,1,0.148,EtOH,30_mins,121,122,Model,2
20,Alc,female,47,1,1,0.191,EtOH,30_mins,122,122,Model,2
21,Ctrl,female,47,1,1,0.186,EtOH,30_mins,121,121,Model,2
22,Alc,female,47,1,1,0.154,EtOH,30_mins,120,123,Model,2
23,Ctrl,female,47,1,1,0.166,EtOH,30_mins,121,123,Model,2
24,Alc,female,47,1,1,0.155,EtOH,30_mins,118,123,Model,2
25,Alc,male,47,1,1,0.197,EtOH,30_mins,118,121,Model,2
26,Alc,male,47,1,1,0.239,EtOH,30_mins,120,121,Model,2
28,Ctrl,male,47,1,1,0.21,EtOH,30_mins,123,121,Model,2
29,Alc,male,47,1,1,0.2,EtOH,30_mins,120,122,Model,2
30,Alc,male,47,1,1,0.248,EtOH,30_mins,124,115,Model,2
31,Ctrl,male,47,1,1,0.206,EtOH,30_mins,122,114,Model,2
32,Alc,male,47,1,1,0.183,EtOH,30_mins,122,123,Model,2
17,Alc,female,47,2,1,0.173,EtOH,24_hrs,114,99,Model,2
