RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
52,Str,female,48,1,1,0.158,EtOH,start,124,123,Model,4
53,Alc,female,48,1,1,0.153,EtOH,start,121,123,Model,4
54,Ctrl,female,48,1,1,0.155,EtOH,start,123,123,Model,4
56,Alc,female,48,1,1,0.161,EtOH,start,120,124,Model,4
57,Str,female,48,1,1,0.163,EtOH,start,123,123,Model,4
58,Alc+Str,female,48,1,1,0.154,EtOH,start,120,122,Model,4
59,Ctrl,female,48,1,1,0.148,EtOH,start,122,122,Model,4
61,Alc,male,48,1,1,0.117,EtOH,start,119,121,Model,4
62,Alc+Str,male,48,1,1,0.155,EtOH,start,121,123,Model,4
63,Ctrl,male,48,1,1,0.173,EtOH,start,121,123,Model,4
64,Ctrl,male,48,1,1,0.191,EtOH,start,122,122,Model,4
65,Str,male,48,1,1,0.182,EtOH,start,122,123,Model,4
66,Alc+Str,male,48,1,1,0.208,EtOH,start,121,122,Model,4
67,Alc,male,48,1,1,0.202,EtOH,start,119,125,Model,4
52,Str,female,48,2,1,0.158,EtOH,30_mins,121,122,Model,4
53,Alc,female,48,2,1,0.153,EtOH,30_mins,116,113,Model,4
54,Ctrl,female,48,2,1,0.155,EtOH,30_mins,120,119,Model,4
56,Alc,female,48,2,1,0.161,EtOH,30_mins,119,117,Model,4
57,Str,female,48,2,1,0.163,EtOH,30_mins,122,122,Model,4
58,Alc+Str,female,48,2,1,0.154,EtOH,30_mins,120,119,Model,4
59,Ctrl,female,48,2,1,0.148,EtOH,30_mins,121,121,Model,4
61,Alc,male,48,2,1,0.117,EtOH,30_mins,119,114,Model,4
62,Alc+Str,male,48,2,1,0.155,EtOH,30_mins,120,122,Model,4
63,Ctrl,male,48,2,1,0.173,EtOH,30_mins,119,122,Model,4
64,Ctrl,male,48,2,1,0.191,EtOH,30_mins,120,115,Model,4
65,Str,male,48,2,1,0.182,EtOH,30_mins,120,121,Model,4
66,Alc+Str,male,48,2,1,0.208,EtOH,30_mins,119,121,Model,4
67,Alc,male,48,2,1,0.202,EtOH,30_mins,118,120,Model,4
52,Str,female,48,2,1,0.158,EtOH,24_hrs,97,113,Model,4
53,Alc,female,48,2,1,0.153,EtOH,24_hrs,113,92,Model,4
54,Ctrl,female,48,2,1,0.155,EtOH,24_hrs,99,117,Model,4
56,Alc,female,48,2,1,0.161,EtOH,24_hrs,117,86,Model,4
57,Str,female,48,2,1,0.163,EtOH,24_hrs,109,113,Model,4
58,Alc+Str,female,48,2,1,0.154,EtOH,24_hrs,113,103,Model,4
59,Ctrl,female,48,2,1,0.148,EtOH,24_hrs,101,113,Model,4
61,Alc,male,48,2,1,0.117,EtOH,24_hrs,115,92,Model,4
62,Alc+Str,male,48,2,1,0.155,EtOH,24_hrs,118,91,Model,4
63,Ctrl,male,48,2,1,0.173,EtOH,24_hrs,100,114,Model,4
64,Ctrl,male,48,2,1,0.191,EtOH,24_hrs,120,84,Model,4
65,Str,male,48,2,1,0.182,EtOH,24_hrs,99,120,Model,4
66,Alc+Str,male,48,2,1,0.208,EtOH,24_hrs,102,117,Model,4
67,Alc,male,48,2,1,0.202,EtOH,24_hrs,112,99,Model,4
52,Str,female,49,3,1,0.158,H2O,start,123,122,Model,4
53,Alc,female,49,3,1,0.156,H2O,start,122,122,Model,4
54,Ctrl,female,49,3,1,0.16,H2O,start,123,123,Model,4
56,Alc,female,49,3,1,0.164,H2O,start,123,122,Model,4
57,Str,female,49,3,1,0.161,H2O,start,122,122,Model,4
58,Alc+Str,female,49,3,1,0.153,H2O,start,121,120,Model,4
59,Ctrl,female,49,3,1,0.151,H2O,start,121,120,Model,4
61,Alc,male,49,3,1,0.141,H2O,start,121,122,Model,4
62,Alc+Str,male,49,3,1,0.165,H2O,start,122,122,Model,4
63,Ctrl,male,49,3,1,0.189,H2O,start,121,123,Model,4
64,Ctrl,male,49,3,1,0.195,H2O,start,121,121,Model,4
65,Str,male,49,3,1,0.189,H2O,start,121,123,Model,4
66,Alc+Str,male,49,3,1,0.206,H2O,start,122,121,Model,4
67,Alc,male,49,3,1,0.21,H2O,start,120,121,Model,4
