RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
112,Ctrl,female,45,1,1,0.107,EtOH,start,123,122,Model,6
113,Alc,female,45,1,1,0.176,EtOH,start,123,123,Model,6
115,Alc,female,45,1,1,0.165,EtOH,start,122,123,Model,6
116,Ctrl,female,45,1,1,0.176,EtOH,start,123,123,Model,6
118,Alc,female,45,1,1,0.161,EtOH,start,121,123,Model,6
119,Str,female,45,1,1,0.171,EtOH,start,122,122,Model,6
120,Alc,female,45,1,1,0.167,EtOH,start,121,121,Model,6
121,Ctrl,female,45,1,1,0.132,EtOH,start,123,121,Model,6
122,Alc,female,45,1,1,0.17,EtOH,start,123,121,Model,6
123,Str,female,45,1,1,0.185,EtOH,start,122,122,Model,6
124,Alc,male,45,1,1,0.147,EtOH,start,119,124,Model,6
125,Alc,male,45,1,1,0.193,EtOH,start,121,121,Model,6
126,Ctrl,male,45,1,1,0.184,EtOH,start,122,124,Model,6
127,Ctrl,male,45,1,1,0.17,EtOH,start,123,123,Model,6
128,Str,male,45,1,1,0.187,EtOH,start,122,121,Model,6
129,Ctrl,male,45,1,1,0.176,EtOH,start,122,121,Model,6
130,Alc,male,45,1,1,0.197,EtOH,start,120,121,Model,6
131,Ctrl,male,45,1,1,0.126,EtOH,start,121,123,Model,6
132,Alc,male,45,1,1,0.165,EtOH,start,121,119,Model,6
133,Alc,male,45,1,1,0.194,EtOH,start,120,119,Model,6
134,Str,male,45,1,1,0.179,EtOH,start,122,121,Model,6
135,Alc,male,45,1,1,0.208,EtOH,start,120,121,Model,6
112,Ctrl,female,45,1,1,0.107,EtOH,30_mins,122,122,Model,6
113,Alc,female,45,1,1,0.176,EtOH,30_mins,122,119,Model,6
115,Alc,female,45,1,1,0.165,EtOH,30_mins,122,119,Model,6
116,Ctrl,female,45,1,1,0.176,EtOH,30_mins,118,118,Model,6
118,Alc,female,45,1,1,0.161,EtOH,30_mins,120,120,Model,6
119,Str,female,45,1,1,0.171,EtOH,30_mins,122,122,Model,6
120,Alc,female,45,1,1,0.167,EtOH,30_mins,121,121,Model,6
121,Ctrl,female,45,1,1,0.132,EtOH,30_mins,122,122,Model,6
122,Alc,female,45,1,1,0.17,EtOH,30_mins,121,121,Model,6
123,Str,female,45,1,1,0.185,EtOH,30_mins,122,122,Model,6
124,Alc,male,45,1,1,0.147,EtOH,30_mins,116,122,Model,6
125,Alc,male,45,1,1,0.193,EtOH,30_mins,120,120,Model,6
126,Ctrl,male,45,1,1,0.184,EtOH,30_mins,119,122,Model,6
127,Ctrl,male,45,1,1,0.17,EtOH,30_mins,122,121,Model,6
128,Str,male,45,1,1,0.187,EtOH,30_mins,115,114,Model,6
129,Ctrl,male,45,1,1,0.176,EtOH,30_mins,114,117,Model,6
130,Alc,male,45,1,1,0.197,EtOH,30_mins,119,117,Model,6
131,Ctrl,male,45,1,1,0.126,EtOH,30_mins,118,121,Model,6
132,Alc,male,45,1,1,0.165,EtOH,30_mins,119,117,Model,6
133,Alc,male,45,1,1,0.194,EtOH,30_mins,116,117,Model,6
134,Str,male,45,1,1,0.179,EtOH,30_mins,122,122,Model,6
135,Alc,male,45,1,1,0.208,EtOH,30_mins,120,122,Model,6
112,Ctrl,female,45,2,1,0.107,EtOH,24_hrs,101,120,Model,6
113,Alc,female,45,2,1,0.176,EtOH,24_hrs,119,91,Model,6
115,Alc,female,45,2,1,0.165,EtOH,24_hrs,120,92,Model,6
116,Ctrl,female,45,2,1,0.176,EtOH,24_hrs,96,113,Model,6
118,Alc,female,45,2,1,0.161,EtOH,24_hrs,106,115,Model,6
119,Str,female,45,2,1,0.171,EtOH,24_hrs,89,119,Model,6
120,Alc,female,45,2,1,0.167,EtOH,24_hrs,118,99,Model,6
121,Ctrl,female,45,2,1,0.132,EtOH,24_hrs,94,116,Model,6
122,Alc,female,45,2,1,0.17,EtOH,24_hrs,109,108,Model,6
123,Str,female,45,2,1,0.185,EtOH,24_hrs,96,121,Model,6
124,Alc,male,45,2,1,0.147,EtOH,24_hrs,105,120,Model,6
125,Alc,male,45,2,1,0.193,EtOH,24_hrs,107,118,Model,6
126,Ctrl,male,45,2,1,0.184,EtOH,24_hrs,77,122,Model,6
127,Ctrl,male,45,2,1,0.17,EtOH,24_hrs,122,120,Model,6
128,Str,male,45,2,1,0.187,EtOH,24_hrs,111,75,Model,6
129,Ctrl,male,45,2,1,0.176,EtOH,24_hrs,89,109,Model,6
130,Alc,male,45,2,1,0.197,EtOH,24_hrs,116,83,Model,6
131,Ctrl,male,45,2,1,0.126,EtOH,24_hrs,96,119,Model,6
132,Alc,male,45,2,1,0.165,EtOH,24_hrs,117,89,Model,6
133,Alc,male,45,2,1,0.194,EtOH,24_hrs,105,98,Model,6
134,Str,male,45,2,1,0.179,EtOH,24_hrs,107,101,Model,6
135,Alc,male,45,2,1,0.208,EtOH,24_hrs,111,92,Model,6
112,Ctrl,female,46,2,1,0.11,H2O,start,116,118,Model,6
113,Alc,female,46,2,1,0.186,H2O,start,127,130,Model,6
115,Alc,female,46,2,1,0.172,H2O,start,130,124,Model,6
116,Ctrl,female,46,2,1,0.169,H2O,start,122,122,Model,6
118,Alc,female,46,2,1,0.168,H2O,start,123,124,Model,6
119,Str,female,46,2,1,0.18,H2O,start,123,124,Model,6
120,Alc,female,46,2,1,0.175,H2O,start,122,123,Model,6
121,Ctrl,female,46,2,1,0.19,H2O,start,123,124,Model,6
122,Alc,female,46,2,1,0.172,H2O,start,120,118,Model,6
123,Str,female,46,2,1,0.194,H2O,start,124,124,Model,6
124,Alc,male,46,2,1,0.14,H2O,start,123,124,Model,6
125,Alc,male,46,2,1,0.181,H2O,start,124,123,Model,6
126,Ctrl,male,46,2,1,0.189,H2O,start,122,123,Model,6
127,Ctrl,male,46,2,1,0.158,H2O,start,121,122,Model,6
128,Str,male,46,2,1,0.201,H2O,start,122,124,Model,6
129,Ctrl,male,46,2,1,0.185,H2O,start,124,124,Model,6
130,Alc,male,46,2,1,0.211,H2O,start,121,122,Model,6
131,Ctrl,male,46,2,1,0.137,H2O,start,122,122,Model,6
132,Alc,male,46,2,1,0.174,H2O,start,121,123,Model,6
133,Alc,male,46,2,1,0.205,H2O,start,122,121,Model,6
134,Str,male,46,2,1,0.202,H2O,start,121,123,Model,6
135,Alc,male,46,2,1,0.22,H2O,start,122,124,Model,6
112,Ctrl,female,46,3,1,0.11,H2O,24_hrs,58,113,Model,6
113,Alc,female,46,3,1,0.186,H2O,24_hrs,123,104,Model,6
115,Alc,female,46,3,1,0.172,H2O,24_hrs,105,101,Model,6
116,Ctrl,female,46,3,1,0.169,H2O,24_hrs,121,115,Model,6
118,Alc,female,46,3,1,0.168,H2O,24_hrs,122,119,Model,6
119,Str,female,46,3,1,0.18,H2O,24_hrs,122,123,Model,6
120,Alc,female,46,3,1,0.175,H2O,24_hrs,122,87,Model,6
121,Ctrl,female,46,3,1,0.19,H2O,24_hrs,98,115,Model,6
122,Alc,female,46,3,1,0.172,H2O,24_hrs,90,117,Model,6
123,Str,female,46,3,1,0.194,H2O,24_hrs,99,122,Model,6
124,Alc,male,46,3,1,0.14,H2O,24_hrs,121,121,Model,6
125,Alc,male,46,3,1,0.181,H2O,24_hrs,123,122,Model,6
126,Ctrl,male,46,3,1,0.189,H2O,24_hrs,121,91,Model,6
127,Ctrl,male,46,3,1,0.158,H2O,24_hrs,92,123,Model,6
128,Str,male,46,3,1,0.201,H2O,24_hrs,104,106,Model,6
129,Ctrl,male,46,3,1,0.185,H2O,24_hrs,122,98,Model,6
130,Alc,male,46,3,1,0.211,H2O,24_hrs,79,120,Model,6
131,Ctrl,male,46,3,1,0.137,H2O,24_hrs,125,104,Model,6
132,Alc,male,46,3,1,0.174,H2O,24_hrs,118,94,Model,6
133,Alc,male,46,3,1,0.205,H2O,24_hrs,115,96,Model,6
134,Str,male,46,3,1,0.202,H2O,24_hrs,122,82,Model,6
135,Alc,male,46,3,1,0.22,H2O,24_hrs,98,122,Model,6
112,Ctrl,female,47,3,2,0.131,EtOH,start,124,125,Model,6
113,Alc,female,47,3,2,0.187,EtOH,start,121,123,Model,6
115,Alc,female,47,3,2,0.176,EtOH,start,122,123,Model,6
116,Ctrl,female,47,3,2,0.191,EtOH,start,122,123,Model,6
118,Alc,female,47,3,2,0.16,EtOH,start,121,121,Model,6
119,Str,female,47,3,2,0.167,EtOH,start,122,123,Model,6
120,Alc,female,47,3,2,0.179,EtOH,start,122,121,Model,6
121,Ctrl,female,47,3,2,0.195,EtOH,start,122,124,Model,6
122,Alc,female,47,3,2,0.18,EtOH,start,122,124,Model,6
123,Str,female,47,3,2,0.193,EtOH,start,122,121,Model,6
124,Alc,male,47,3,2,0.132,EtOH,start,121,122,Model,6
125,Alc,male,47,3,2,0.171,EtOH,start,122,122,Model,6
126,Ctrl,male,47,3,2,0.2,EtOH,start,124,121,Model,6
127,Ctrl,male,47,3,2,0.162,EtOH,start,125,121,Model,6
128,Str,male,47,3,2,0.209,EtOH,start,124,123,Model,6
129,Ctrl,male,47,3,2,0.196,EtOH,start,119,120,Model,6
130,Alc,male,47,3,2,0.215,EtOH,start,121,121,Model,6
131,Ctrl,male,47,3,2,0.138,EtOH,start,124,121,Model,6
132,Alc,male,47,3,2,0.182,EtOH,start,121,123,Model,6
133,Alc,male,47,3,2,0.216,EtOH,start,121,123,Model,6
134,Str,male,47,3,2,0.204,EtOH,start,120,122,Model,6
135,Alc,male,47,3,2,0.224,EtOH,start,122,122,Model,6
112,Ctrl,female,47,3,2,0.131,EtOH,30_mins,110,124,Model,6
113,Alc,female,47,3,2,0.187,EtOH,30_mins,121,123,Model,6
115,Alc,female,47,3,2,0.176,EtOH,30_mins,121,124,Model,6
116,Ctrl,female,47,3,2,0.191,EtOH,30_mins,116,122,Model,6
118,Alc,female,47,3,2,0.16,EtOH,30_mins,120,122,Model,6
119,Str,female,47,3,2,0.167,EtOH,30_mins,123,121,Model,6
120,Alc,female,47,3,2,0.179,EtOH,30_mins,121,120,Model,6
121,Ctrl,female,47,3,2,0.195,EtOH,30_mins,119,123,Model,6
122,Alc,female,47,3,2,0.18,EtOH,30_mins,120,122,Model,6
123,Str,female,47,3,2,0.193,EtOH,30_mins,120,122,Model,6
124,Alc,male,47,3,2,0.132,EtOH,30_mins,120,122,Model,6
125,Alc,male,47,3,2,0.171,EtOH,30_mins,120,121,Model,6
126,Ctrl,male,47,3,2,0.2,EtOH,30_mins,123,117,Model,6
