Date,RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
14/11/2022,137,Str,female,46,1,1,0.131,EtOH,start,123,122,Model,7
14/11/2022,139,Alc+Str,female,46,1,1,0.095,EtOH,start,117,120,Model,7
14/11/2022,141,Alc+Str,female,46,1,1,0.142,EtOH,start,118,120,Model,7
14/11/2022,144,Str,female,46,1,1,0.143,EtOH,start,121,120,Model,7
14/11/2022,145,Str,female,46,1,1,0.132,EtOH,start,122,122,Model,7
14/11/2022,147,Ctrl,male,46,1,1,0.137,EtOH,start,123,121,Model,7
14/11/2022,148,Str,male,46,1,1,0.184,EtOH,start,123,120,Model,7
14/11/2022,151,Str,male,46,1,1,0.152,EtOH,start,121,120,Model,7
14/11/2022,152,Alc+Str,male,46,1,1,0.168,EtOH,start,118,124,Model,7
14/11/2022,153,Alc+Str,male,46,1,1,0.219,EtOH,start,118,122,Model,7
14/11/2022,154,Str,male,46,1,1,0.200,EtOH,start,124,123,Model,7
14/11/2022,155,Alc+Str,male,46,1,1,0.156,EtOH,start,118,122,Model,7
14/11/2022,137,Str,female,46,1,1,0.131,EtOH,30_mins,123,122,Model,7
14/11/2022,139,Alc+Str,female,46,1,1,0.095,EtOH,30_mins,117,120,Model,7
14/11/2022,141,Alc+Str,female,46,1,1,0.142,EtOH,30_mins,117,120,Model,7
14/11/2022,144,Str,female,46,1,1,0.143,EtOH,30_mins,121,120,Model,7
14/11/2022,145,Str,female,46,1,1,0.132,EtOH,30_mins,121,122,Model,7
14/11/2022,147,Ctrl,male,46,1,1,0.137,EtOH,30_mins,123,121,Model,7
14/11/2022,148,Str,male,46,1,1,0.184,EtOH,30_mins,117,120,Model,7
14/11/2022,151,Str,male,46,1,1,0.152,EtOH,30_mins,119,119,Model,7
14/11/2022,152,Alc+Str,male,46,1,1,0.168,EtOH,30_mins,123,124,Model,7
14/11/2022,153,Alc+Str,male,46,1,1,0.219,EtOH,30_mins,116,122,Model,7
14/11/2022,154,Str,male,46,1,1,0.200,EtOH,30_mins,123,120,Model,7
14/11/2022,155,Alc+Str,male,46,1,1,0.156,EtOH,30_mins,118,121,Model,7
14/11/2022,137,Str,female,46,2,1,0.131,EtOH,24_hrs,123,101,Model,7
14/11/2022,139,Alc+Str,female,46,2,1,0.095,EtOH,24_hrs,40,119,Model,7
14/11/2022,141,Alc+Str,female,46,2,1,0.142,EtOH,24_hrs,110,119,Model,7
14/11/2022,144,Str,female,46,2,1,0.143,EtOH,24_hrs,107,112,Model,7
14/11/2022,145,Str,female,46,2,1,0.132,EtOH,24_hrs,115,118,Model,7
14/11/2022,147,Ctrl,male,46,2,1,0.137,EtOH,24_hrs,100,120,Model,7
14/11/2022,148,Str,male,46,2,1,0.184,EtOH,24_hrs,90,116,Model,7
14/11/2022,151,Str,male,46,2,1,0.152,EtOH,24_hrs,89,116,Model,7
14/11/2022,152,Alc+Str,male,46,2,1,0.168,EtOH,24_hrs,111,106,Model,7
14/11/2022,153,Alc+Str,male,46,2,1,0.219,EtOH,24_hrs,104,99,Model,7
14/11/2022,154,Str,male,46,2,1,0.200,EtOH,24_hrs,123,76,Model,7
14/11/2022,155,Alc+Str,male,46,2,1,0.156,EtOH,24_hrs,109,118,Model,7
15/11/2022,137,Str,female,47,2,1,0.141,H2O,start,126,123,Model,7
15/11/2022,139,Alc+Str,female,47,2,1,0.102,H2O,start,124,121,Model,7
15/11/2022,141,Alc+Str,female,47,2,1,0.140,H2O,start,124,123,Model,7
15/11/2022,144,Str,female,47,2,1,0.154,H2O,start,123,122,Model,7
15/11/2022,145,Str,female,47,2,1,0.136,H2O,start,123,120,Model,7
15/11/2022,147,Ctrl,male,47,2,1,0.144,H2O,start,121,124,Model,7
15/11/2022,148,Str,male,47,2,1,0.189,H2O,start,122,121,Model,7
15/11/2022,151,Str,male,47,2,1,0.157,H2O,start,125,124,Model,7
15/11/2022,152,Alc+Str,male,47,2,1,0.172,H2O,start,120,121,Model,7
