RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
1,Alc,female,46,1,1,0.157,EtOH,start,123,125,Model,1
2,Alc,female,46,1,1,0.165,EtOH,start,123,126,Model,1
3,Ctrl,female,46,1,1,0.178,EtOH,start,126,124,Model,1
4,Alc,female,46,1,1,0.151,EtOH,start,123,124,Model,1
5,Ctrl,female,46,1,1,0.173,EtOH,start,125,125,Model,1
6,Alc,female,46,1,1,0.157,EtOH,start,123,126,Model,1
7,Alc,female,46,1,1,0.161,EtOH,start,123,126,Model,1
8,Alc,female,46,1,1,0.178,EtOH,start,123,126,Model,1
9,Alc,male,46,1,1,0.203,EtOH,start,123,125,Model,1
12,Alc,male,46,1,1,0.193,EtOH,start,123,126,Model,1
13,Alc,male,46,1,1,0.21,EtOH,start,123,124,Model,1
14,Alc,male,46,1,1,0.17,EtOH,start,123,124,Model,1
15,Ctrl,male,46,1,1,0.213,EtOH,start,123,124,Model,1
16,Alc,male,46,1,1,0.22,EtOH,start,123,125,Model,1
1,Alc,female,46,1,1,0.157,EtOH,30_mins,123,118,Model,1
2,Alc,female,46,1,1,0.165,EtOH,30_mins,122,121,Model,1
3,Ctrl,female,46,1,1,0.178,EtOH,30_mins,125,116,Model,1
4,Alc,female,46,1,1,0.151,EtOH,30_mins,122,121,Model,1
5,Ctrl,female,46,1,1,0.173,EtOH,30_mins,122,124,Model,1
6,Alc,female,46,1,1,0.157,EtOH,30_mins,123,121,Model,1
7,Alc,female,46,1,1,0.161,EtOH,30_mins,119,124,Model,1
8,Alc,female,46,1,1,0.178,EtOH,30_mins,123,123,Model,1
9,Alc,male,46,1,1,0.203,EtOH,30_mins,123,122,Model,1
12,Alc,male,46,1,1,0.193,EtOH,30_mins,123,122,Model,1
13,Alc,male,46,1,1,0.21,EtOH,30_mins,122,123,Model,1
14,Alc,male,46,1,1,0.17,EtOH,30_mins,123,119,Model,1
15,Ctrl,male,46,1,1,0.213,EtOH,30_mins,122,121,Model,1
16,Alc,male,46,1,1,0.22,EtOH,30_mins,122,116,Model,1
1,Alc,female,46,2,1,0.157,EtOH,24_hrs,119,89,Model,1
2,Alc,female,46,2,1,0.165,EtOH,24_hrs,117,96,Model,1
3,Ctrl,female,46,2,1,0.178,EtOH,24_hrs,120,91,Model,1
4,Alc,female,46,2,1,0.151,EtOH,24_hrs,121,93,Model,1
5,Ctrl,female,46,2,1,0.173,EtOH,24_hrs,110,109,Model,1
6,Alc,female,46,2,1,0.157,EtOH,24_hrs,120,98,Model,1
7,Alc,female,46,2,1,0.161,EtOH,24_hrs,115,101,Model,1
8,Alc,female,46,2,1,0.178,EtOH,24_hrs,121,97,Model,1
9,Alc,male,46,2,1,0.203,EtOH,24_hrs,119,102,Model,1
12,Alc,male,46,2,1,0.193,EtOH,24_hrs,120,91,Model,1
13,Alc,male,46,2,1,0.21,EtOH,24_hrs,119,89,Model,1
14,Alc,male,46,2,1,0.17,EtOH,24_hrs,122,87,Model,1
15,Ctrl,male,46,2,1,0.213,EtOH,24_hrs,120,93,Model,1
16,Alc,male,46,2,1,0.22,EtOH,24_hrs,120,79,Model,1
1,Alc,female,47,2,1,0.157,H2O,start,124,124,Model,1
2,Alc,female,47,2,1,0.162,H2O,start,125,125,Model,1
3,Ctrl,female,47,2,1,0.173,H2O,start,125,124,Model,1
4,Alc,female,47,2,1,0.149,H2O,start,125,124,Model,1
5,Ctrl,female,47,2,1,0.168,H2O,start,125,125,Model,1
6,Alc,female,47,2,1,0.155,H2O,start,125,125,Model,1
7,Alc,female,47,2,1,0.157,H2O,start,124,125,Model,1
8,Alc,female,47,2,1,0.166,H2O,start,125,124,Model,1
9,Alc,male,47,2,1,0.196,H2O,start,124,124,Model,1
12,Alc,male,47,2,1,0.191,H2O,start,124,124,Model,1
13,Alc,male,47,2,1,0.22,H2O,start,125,124,Model,1
14,Alc,male,47,2,1,0.17,H2O,start,125,123,Model,1
15,Ctrl,male,47,2,1,0.204,H2O,start,124,124,Model,1
16,Alc,male,47,2,1,0.223,H2O,start,125,124,Model,1
1,Alc,female,47,3,1,0.157,H2O,24_hrs,123,87,Model,1
2,Alc,female,47,3,1,0.162,H2O,24_hrs,86,124,Model,1
3,Ctrl,female,47,3,1,0.173,H2O,24_hrs,94,122,Model,1
4,Alc,female,47,3,1,0.149,H2O,24_hrs,121,96,Model,1
5,Ctrl,female,47,3,1,0.168,H2O,24_hrs,123,105,Model,1
6,Alc,female,47,3,1,0.155,H2O,24_hrs,125,99,Model,1
7,Alc,female,47,3,1,0.157,H2O,24_hrs,94,122,Model,1
8,Alc,female,47,3,1,0.166,H2O,24_hrs,89,124,Model,1
9,Alc,male,47,3,1,0.196,H2O,24_hrs,115,97,Model,1
12,Alc,male,47,3,1,0.191,H2O,24_hrs,106,106,Model,1
13,Alc,male,47,3,1,0.22,H2O,24_hrs,122,93,Model,1
14,Alc,male,47,3,1,0.17,H2O,24_hrs,123,83,Model,1
15,Ctrl,male,47,3,1,0.204,H2O,24_hrs,98,118,Model,1
16,Alc,male,47,3,1,0.223,H2O,24_hrs,111,97,Model,1
1,Alc,female,48,3,2,0.163,EtOH,start,120,121,Model,1
2,Alc,female,48,3,2,0.159,EtOH,start,120,122,Model,1
3,Ctrl,female,48,3,2,0.183,EtOH,start,122,121,Model,1
4,Alc,female,48,3,2,0.15,EtOH,start,120,122,Model,1
5,Ctrl,female,48,3,2,0.167,EtOH,start,122,122,Model,1
6,Alc,female,48,3,2,0.154,EtOH,start,121,120,Model,1
7,Alc,female,48,3,2,0.159,EtOH,start,120,122,Model,1
8,Alc,female,48,3,2,0.172,EtOH,start,120,122,Model,1
9,Alc,male,48,3,2,0.215,EtOH,start,120,121,Model,1
12,Alc,male,48,3,2,0.195,EtOH,start,121,122,Model,1
13,Alc,male,48,3,2,0.222,EtOH,start,120,122,Model,1
14,Alc,male,48,3,2,0.18,EtOH,start,121,122,Model,1
15,Ctrl,male,48,3,2,0.202,EtOH,start,122,121,Model,1
16,Alc,male,48,3,2,0.232,EtOH,start,120,122,Model,1
1,Alc,female,48,3,2,0.163,EtOH,30_mins,119,121,Model,1
2,Alc,female,48,3,2,0.159,EtOH,30_mins,120,120,Model,1
3,Ctrl,female,48,3,2,0.183,EtOH,30_mins,116,121,Model,1
4,Alc,female,48,3,2,0.15,EtOH,30_mins,120,122,Model,1
5,Ctrl,female,48,3,2,0.167,EtOH,30_mins,121,120,Model,1
6,Alc,female,48,3,2,0.154,EtOH,30_mins,121,120,Model,1
7,Alc,female,48,3,2,0.159,EtOH,30_mins,119,122,Model,1
8,Alc,female,48,3,2,0.172,EtOH,30_mins,120,117,Model,1
9,Alc,male,48,3,2,0.215,EtOH,30_mins,120,117,Model,1
12,Alc,male,48,3,2,0.195,EtOH,30_mins,121,121,Model,1
13,Alc,male,48,3,2,0.222,EtOH,30_mins,120,118,Model,1
14,Alc,male,48,3,2,0.18,EtOH,30_mins,121,119,Model,1
15,Ctrl,male,48,3,2,0.202,EtOH,30_mins,119,121,Model,1
16,Alc,male,48,3,2,0.232,EtOH,30_mins,120,118,Model,1
1,Alc,female,48,4,2,0.163,EtOH,24_hrs,114,106,Model,1
2,Alc,female,48,4,2,0.159,EtOH,24_hrs,111,101,Model,1
3,Ctrl,female,48,4,2,0.183,EtOH,24_hrs,92,120,Model,1
4,Alc,female,48,4,2,0.15,EtOH,24_hrs,116,107,Model,1
5,Ctrl,female,48,4,2,0.167,EtOH,24_hrs,120,97,Model,1
6,Alc,female,48,4,2,0.154,EtOH,24_hrs,118,97,Model,1
7,Alc,female,48,4,2,0.159,EtOH,24_hrs,115,99,Model,1
8,Alc,female,48,4,2,0.172,EtOH,24_hrs,109,118,Model,1
9,Alc,male,48,4,2,0.215,EtOH,24_hrs,118,83,Model,1
12,Alc,male,48,4,2,0.195,EtOH,24_hrs,118,93,Model,1
13,Alc,male,48,4,2,0.222,EtOH,24_hrs,119,81,Model,1
14,Alc,male,48,4,2,0.18,EtOH,24_hrs,120,89,Model,1
15,Ctrl,male,48,4,2,0.202,EtOH,24_hrs,84,118,Model,1
16,Alc,male,48,4,2,0.232,EtOH,24_hrs,117,84,Model,1
1,Alc,female,49,4,2,0.162,H2O,start,122,122,Model,1
2,Alc,female,49,4,2,0.162,H2O,start,123,121,Model,1
3,Ctrl,female,49,4,2,0.172,H2O,start,120,123,Model,1
