RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
68,Alc+Str,female,46,1,1,0.136,EtOH,start,121,124,Model,5
69,Alc,female,46,1,1,0.178,EtOH,start,122,125,Model,5
70,Ctrl,female,46,1,1,0.18,EtOH,start,128,124,Model,5
71,Alc+Str,female,46,1,1,0.18,EtOH,start,122,129,Model,5
72,Str,female,46,1,1,0.164,EtOH,start,123,126,Model,5
74,Str,female,46,1,1,0.181,EtOH,start,125,125,Model,5
75,Ctrl,female,46,1,1,0.155,EtOH,start,125,123,Model,5
76,Alc,female,46,1,1,0.196,EtOH,start,120,125,Model,5
77,Alc,female,46,1,1,0.086,EtOH,start,120,124,Model,5
78,Alc+Str,male,46,1,1,0.176,EtOH,start,117,123,Model,5
79,Str,male,46,1,1,0.167,EtOH,start,124,121,Model,5
81,Alc+Str,male,46,1,1,0.226,EtOH,start,124,121,Model,5
83,Str,male,46,1,1,0.174,EtOH,start,124,123,Model,5
84,Ctrl,male,46,1,1,0.166,EtOH,start,124,123,Model,5
85,Alc,male,46,1,1,0.184,EtOH,start,127,123,Model,5
86,Ctrl,male,46,1,1,0.186,EtOH,start,124,123,Model,5
87,Ctrl,male,46,1,1,0.173,EtOH,start,125,124,Model,5
68,Alc+Str,female,46,1,1,0.136,EtOH,30_mins,120,124,Model,5
69,Alc,female,46,1,1,0.178,EtOH,30_mins,122,125,Model,5
70,Ctrl,female,46,1,1,0.18,EtOH,30_mins,126,124,Model,5
71,Alc+Str,female,46,1,1,0.18,EtOH,30_mins,121,122,Model,5
72,Str,female,46,1,1,0.164,EtOH,30_mins,122,124,Model,5
74,Str,female,46,1,1,0.181,EtOH,30_mins,124,124,Model,5
75,Ctrl,female,46,1,1,0.155,EtOH,30_mins,124,122,Model,5
76,Alc,female,46,1,1,0.196,EtOH,30_mins,119,123,Model,5
77,Alc,female,46,1,1,0.086,EtOH,30_mins,120,124,Model,5
78,Alc+Str,male,46,1,1,0.176,EtOH,30_mins,115,122,Model,5
79,Str,male,46,1,1,0.167,EtOH,30_mins,121,121,Model,5
81,Alc+Str,male,46,1,1,0.226,EtOH,30_mins,123,120,Model,5
83,Str,male,46,1,1,0.174,EtOH,30_mins,123,122,Model,5
84,Ctrl,male,46,1,1,0.166,EtOH,30_mins,125,122,Model,5
85,Alc,male,46,1,1,0.184,EtOH,30_mins,123,123,Model,5
86,Ctrl,male,46,1,1,0.186,EtOH,30_mins,123,121,Model,5
87,Ctrl,male,46,1,1,0.173,EtOH,30_mins,124,120,Model,5
68,Alc+Str,female,46,2,1,0.136,EtOH,24_hrs,114,123,Model,5
69,Alc,female,46,2,1,0.178,EtOH,24_hrs,121,124,Model,5
70,Ctrl,female,46,2,1,0.18,EtOH,24_hrs,125,123,Model,5
71,Alc+Str,female,46,2,1,0.18,EtOH,24_hrs,120,95,Model,5
72,Str,female,46,2,1,0.164,EtOH,24_hrs,122,122,Model,5
74,Str,female,46,2,1,0.181,EtOH,24_hrs,123,98,Model,5
75,Ctrl,female,46,2,1,0.155,EtOH,24_hrs,124,122,Model,5
76,Alc,female,46,2,1,0.196,EtOH,24_hrs,111,123,Model,5
77,Alc,female,46,2,1,0.086,EtOH,24_hrs,115,122,Model,5
78,Alc+Str,male,46,2,1,0.176,EtOH,24_hrs,114,116,Model,5
79,Str,male,46,2,1,0.167,EtOH,24_hrs,97,121,Model,5
81,Alc+Str,male,46,2,1,0.226,EtOH,24_hrs,121,86,Model,5
83,Str,male,46,2,1,0.174,EtOH,24_hrs,123,121,Model,5
84,Ctrl,male,46,2,1,0.166,EtOH,24_hrs,90,120,Model,5
85,Alc,male,46,2,1,0.184,EtOH,24_hrs,124,99,Model,5
86,Ctrl,male,46,2,1,0.186,EtOH,24_hrs,111,122,Model,5
87,Ctrl,male,46,2,1,0.173,EtOH,24_hrs,123,90,Model,5
68,Alc+Str,female,47,2,1,0.131,H2O,start,122,127,Model,5
69,Alc,female,47,2,1,0.153,H2O,start,123,126,Model,5
70,Ctrl,female,47,2,1,0.157,H2O,start,122,126,Model,5
71,Alc+Str,female,47,2,1,0.183,H2O,start,124,126,Model,5
72,Str,female,47,2,1,0.159,H2O,start,123,124,Model,5
74,Str,female,47,2,1,0.18,H2O,start,124,123,Model,5
75,Ctrl,female,47,2,1,0.135,H2O,start,125,125,Model,5
76,Alc,female,47,2,1,0.186,H2O,start,126,124,Model,5
77,Alc,female,47,2,1,0.079,H2O,start,125,125,Model,5
78,Alc+Str,male,47,2,1,0.163,H2O,start,124,124,Model,5
79,Str,male,47,2,1,0.172,H2O,start,126,125,Model,5
81,Alc+Str,male,47,2,1,0.223,H2O,start,124,125,Model,5
83,Str,male,47,2,1,0.153,H2O,start,124,115,Model,5
84,Ctrl,male,47,2,1,0.167,H2O,start,123,126,Model,5
85,Alc,male,47,2,1,0.19,H2O,start,123,125,Model,5
86,Ctrl,male,47,2,1,0.198,H2O,start,121,124,Model,5
87,Ctrl,male,47,2,1,0.175,H2O,start,122,125,Model,5
68,Alc+Str,female,47,3,1,0.131,H2O,24_hrs,117,97,Model,5
69,Alc,female,47,3,1,0.153,H2O,24_hrs,118,124,Model,5
70,Ctrl,female,47,3,1,0.157,H2O,24_hrs,101,123,Model,5
71,Alc+Str,female,47,3,1,0.183,H2O,24_hrs,124,95,Model,5
72,Str,female,47,3,1,0.159,H2O,24_hrs,70,123,Model,5
74,Str,female,47,3,1,0.18,H2O,24_hrs,123,121,Model,5
75,Ctrl,female,47,3,1,0.135,H2O,24_hrs,125,116,Model,5
76,Alc,female,47,3,1,0.186,H2O,24_hrs,125,102,Model,5
77,Alc,female,47,3,1,0.079,H2O,24_hrs,124,100,Model,5
78,Alc+Str,male,47,3,1,0.163,H2O,24_hrs,123,85,Model,5
79,Str,male,47,3,1,0.172,H2O,24_hrs,125,93,Model,5
81,Alc+Str,male,47,3,1,0.223,H2O,24_hrs,122,80,Model,5
83,Str,male,47,3,1,0.153,H2O,24_hrs,117,69,Model,5
84,Ctrl,male,47,3,1,0.167,H2O,24_hrs,121,92,Model,5
85,Alc,male,47,3,1,0.19,H2O,24_hrs,121,123,Model,5
86,Ctrl,male,47,3,1,0.198,H2O,24_hrs,84,121,Model,5
87,Ctrl,male,47,3,1,0.175,H2O,24_hrs,93,119,Model,5
68,Alc+Str,female,48,3,2,0.142,EtOH,start,125,122,Model,5
69,Alc,female,48,3,2,0.142,EtOH,start,121,122,Model,5
70,Ctrl,female,48,3,2,0.146,EtOH,start,122,121,Model,5
71,Alc+Str,female,48,3,2,0.183,EtOH,start,121,122,Model,5
72,Str,female,48,3,2,0.165,EtOH,start,119,122,Model,5
74,Str,female,48,3,2,0.163,EtOH,start,120,123,Model,5
75,Ctrl,female,48,3,2,0.134,EtOH,start,121,120,Model,5
76,Alc,female,48,3,2,0.187,EtOH,start,119,123,Model,5
77,Alc,female,48,3,2,0.092,EtOH,start,118,121,Model,5
