RID,PI,PI_entries,Anxiety_index,nose.dip,bodycentre.raw.distance,bodycentre.distance.moving,bodycentre.raw.speed,bodycentre.speed.moving,bodycentre.time.moving,bodycentre.total.time,bodycentre.time.stationary,bodycentre.percentage.moving,bodycentre.center.raw.distance,bodycentre.center.distance.moving,bodycentre.center.raw.speed,bodycentre.center.speed.moving,bodycentre.center.time.moving,bodycentre.center.total.time,bodycentre.center.time.stationary,bodycentre.center.percentage.moving,bodycentre.center.transitions,bodycentre.open.raw.distance,bodycentre.open.distance.moving,bodycentre.open.raw.speed,bodycentre.open.speed.moving,bodycentre.open.time.moving,bodycentre.open.total.time,bodycentre.open.time.stationary,bodycentre.open.percentage.moving,bodycentre.open.transitions,bodycentre.closed.raw.distance,bodycentre.closed.distance.moving,bodycentre.closed.raw.speed,bodycentre.closed.speed.moving,bodycentre.closed.time.moving,bodycentre.closed.total.time,bodycentre.closed.time.stationary,bodycentre.closed.percentage.moving,bodycentre.closed.transitions,bodycentre.closed.top.raw.distance,bodycentre.closed.top.distance.moving,bodycentre.closed.top.raw.speed,bodycentre.closed.top.speed.moving,bodycentre.closed.top.time.moving,bodycentre.closed.top.total.time,bodycentre.closed.top.time.stationary,bodycentre.closed.top.percentage.moving,bodycentre.closed.top.transitions,bodycentre.closed.bottom.raw.distance,bodycentre.closed.bottom.distance.moving,bodycentre.closed.bottom.raw.speed,bodycentre.closed.bottom.speed.moving,bodycentre.closed.bottom.time.moving,bodycentre.closed.bottom.total.time,bodycentre.closed.bottom.time.stationary,bodycentre.closed.bottom.percentage.moving,bodycentre.closed.bottom.transitions,bodycentre.open.left.raw.distance,bodycentre.open.left.distance.moving,bodycentre.open.left.raw.speed,bodycentre.open.left.speed.moving,bodycentre.open.left.time.moving,bodycentre.open.left.total.time,bodycentre.open.left.time.stationary,bodycentre.open.left.percentage.moving,bodycentre.open.left.transitions,bodycentre.open.right.raw.distance,bodycentre.open.right.distance.moving,bodycentre.open.right.raw.speed,bodycentre.open.right.speed.moving,bodycentre.open.right.time.moving,bodycentre.open.right.total.time,bodycentre.open.right.time.stationary,bodycentre.open.right.percentage.moving,bodycentre.open.right.transitions
337_T1,0.4569516276239733,0.6470588235294118,0.4479947744233075,12,1568.7988058685166,985.5461614432013,5.261903038370683,10.671033457234973,92.35714285714286,298.14285714285717,205.7857142857143,30.977479635840922,208.0943654870427,76.81146349642272,3.833317258971839,7.3153774758497825,10.5,54.285714285714285,43.785714285714285,19.342105263157894,51,824.9270571311778,591.0254366630355,6.4700161343621785,11.820508733260711,50,127.5,77.5,39.21568627450981,24,469.14104134741433,261.8470116537871,4.372819293517844,10.098782818603357,25.928571428571427,107.28571428571429,81.35714285714286,24.167776298268972,44,202.08000090774954,94.27374448080052,3.859645310652788,9.427374448080052,10,52.357142857142854,42.357142857142854,19.099590723055936,26,267.0610404396648,167.57326717298656,4.861969526859957,10.520294800097812,15.928571428571429,54.92857142857143,39,28.998699609882966,18,391.6649403840397,266.8515458447051,5.921500178592392,11.32097467219961,23.571428571428573,66.14285714285714,42.57142857142857,35.63714902807776,10,433.26211674713807,324.1738908183304,7.061315057578502,12.266039112044934,26.428571428571427,61.357142857142854,34.92857142857143,43.07334109429569,14
338_T1,0.5734413525889398,0.7325581395348837,0.3470002539380883,10,1299.303872661691,710.1251514581653,4.35799094807467,9.596285830515747,74,298.14285714285717,224.14285714285717,24.820316243411593,227.17637856309977,50.402907024489835,2.942154763999442,7.506815939817635,6.714285714285714,77.21428571428571,70.5,8.695652173913045,56,519.8410204062876,369.19357431598087,6.0097227792634405,11.28539310136186,32.714285714285715,86.5,53.785714285714285,37.819983484723366,23,470.64213492537004,241.72533265532005,4.047291086581807,8.524319035703982,28.357142857142858,116.28571428571429,87.92857142857143,24.385749385749385,63,273.7989669969749,129.25227429492836,3.8836732907372333,8.455756262285032,15.285714285714286,70.5,55.214285714285715,21.681864235055727,51,196.84316792839513,112.47305836039172,4.299226756626415,8.60449626800811,13.071428571428571,45.785714285714285,32.714285714285715,28.549141965678626,12,294.24374594932965,206.81757544536723,5.91020436627061,11.581784224940565,17.857142857142858,49.785714285714285,31.928571428571427,35.86800573888092,11,225.59727445695793,162.37599887061364,6.14467284513115,10.929153770137455,14.857142857142858,36.714285714285715,21.857142857142858,40.46692607003891,12
339_T1,0.2870337477797513,0.6538461538461539,0.5295600491870474,6,1288.2458782322558,639.8618834320193,4.320901364458932,9.012139203267877,71,298.14285714285717,227.14285714285717,23.81408720651653,287.1183006291836,60.51303200857015,3.2733356749255456,6.6707279379526145,9.071428571428571,87.71428571428571,78.64285714285714,10.342019543973942,68,750.3124905991751,466.741569111166,5.233868893068486,9.609385246406358,48.57142857142857,143.35714285714286,94.78571428571429,33.88141504733433,27,203.9782992566013,83.5986886884304,3.534277462366854,8.184487004461717,10.214285714285714,57.714285714285715,47.5,17.698019801980198,51,97.48567315987034,43.77645299531089,3.446463192520669,7.959355090056526,5.5,28.285714285714285,22.785714285714285,19.444444444444446,27,106.49262609673096,39.82223569311951,3.6186814693063916,8.447140904601106,4.714285714285714,29.428571428571427,24.71428571428571,16.019417475728158,24,389.98776273222114,259.1039897464269,5.492785390594664,9.325079322493513,27.785714285714285,71,43.214285714285715,39.13480885311871,12,360.32472786695394,207.63757936473905,4.979808677332039,9.98943680792559,20.785714285714285,72.35714285714286,51.57142857142858,28.726554787759127,15
340_T1,0.5844402277039848,0.6567164179104478,0.37942167719278364,11,1329.1257355135842,751.08425262243,4.458016362527594,10.515179536714019,71.42857142857143,298.14285714285717,226.71428571428572,23.957834211787254,189.14607559832683,61.86591341686811,3.241181222003153,7.66480343217835,8.071428571428571,58.357142857142854,50.285714285714285,13.83108935128519,52,562.6255619647312,415.12847949705787,5.994488483642494,11.98309012981198,34.642857142857146,93.85714285714286,59.214285714285715,36.91019786910198,23,501.55277803185476,230.6601244288431,3.799642257817081,9.726631753023504,23.714285714285715,132,108.28571428571428,17.965367965367964,44,212.7482762693158,83.26330566679873,3.3617109117047637,9.25147840742208,9,63.285714285714285,54.285714285714285,14.221218961625281,30,288.80450176253896,147.39681876204438,4.2029761171263464,10.017259527517579,14.714285714285714,68.71428571428571,53.99999999999999,21.413721413721415,14,297.27362750731606,205.89704421503768,5.601387328536238,12.111590836178689,17,53.07142857142857,36.07142857142857,32.03230148048452,13,265.35193445741515,209.23143528202016,6.506001895628392,11.859271635418148,17.642857142857142,40.785714285714285,23.142857142857142,43.25744308231174,10
341_T1,0.7006369426751592,0.7846153846153846,0.2573738363547281,14,1214.0261894377097,603.8031952951475,4.071961344544308,10.123646388182113,59.642857142857146,298.14285714285717,238.50000000000003,20.004791566842357,116.94028993618849,45.58287044128164,3.4612347972656212,7.977002327224287,5.714285714285714,33.785714285714285,28.07142857142857,16.913319238900634,35,404.00080586831865,285.1075836780729,6.017033278889852,11.603215614805293,24.571428571428573,67.14285714285714,42.57142857142857,36.59574468085107,14,550.5305489990525,221.3043030994372,3.503376220903062,9.474801967560001,23.357142857142858,157.14285714285714,133.78571428571428,14.863636363636365,51,297.93679191527167,90.22446918215448,3.243479849777452,8.534747084798397,10.571428571428571,91.85714285714286,81.28571428571429,11.50855365474339,41,252.59375708378084,131.0798339172827,3.8690509837778246,10.252054049396413,12.785714285714286,65.28571428571429,52.50000000000001,19.58424507658643,10,184.65428834569335,122.71745401583989,5.3969938138616005,11.687376572937133,10.5,34.214285714285715,23.714285714285715,30.68893528183716,6,219.3465175226253,162.390129662233,6.66128252780207,11.540415305945492,14.071428571428571,32.92857142857143,18.85714285714286,42.73318872017353,8
342_T1,0.43472855366763363,0.6301369863013698,0.46756723001549827,8,1249.9547280977313,653.3616509330064,4.192469140720709,9.469009433811689,69,298.14285714285717,229.14285714285717,23.143267848586486,344.2580471261038,80.82124625068876,2.86711044602347,6.69525116869611,12.071428571428571,120.07142857142857,108,10.053539559785841,61,542.2319183780669,361.18822501891094,5.565430247282212,10.361957275132692,34.857142857142854,97.42857142857143,62.57142857142858,35.77712609970674,27,310.58400435271926,163.39313925466115,4.145067741599685,9.223806248247001,17.714285714285715,74.92857142857143,57.214285714285715,23.641563393708296,46,151.52320965729052,75.94691457784418,4.1110948356629216,9.665970946271077,7.857142857142857,36.857142857142854,28.999999999999996,21.317829457364343,26,159.0607946954287,87.44622467681698,4.177957083932462,8.871356126633607,9.857142857142858,38.07142857142857,28.21428571428571,25.891181988742968,20,271.95428306920303,193.65224440563193,5.8755554984087075,11.020859437718892,17.571428571428573,46.285714285714285,28.71428571428571,37.96296296296296,14,270.27763530886386,167.535980613279,5.2847582322962205,9.692164167710356,17.285714285714285,51.142857142857146,33.85714285714286,33.798882681564244,13
350_T1,0.5390962671905698,0.625,0.41795186640471504,4,1107.2119436326475,550.9998545006581,3.7136960256006386,9.465028175471428,58.214285714285715,298.14285714285717,239.92857142857144,19.52563488260661,270.2261280644299,61.955409709014624,2.785836371798246,6.8297302041433445,9.071428571428571,97,87.92857142857143,9.3519882179676,44,421.48959381549355,291.18352244476245,5.030566337098815,10.533770837795023,27.642857142857142,83.78571428571429,56.14285714285715,32.9923273657289,21,360.14014228815313,180.85084540622813,3.6748994111036035,9.27440232852452,19.5,98,78.5,19.897959183673468,35,177.92531826995204,65.68093192405276,2.9760507237506912,9.28821259532059,7.071428571428571,59.785714285714285,52.714285714285715,11.82795698924731,24,182.21482401820109,115.16991348217537,4.768238385523019,9.266544762933652,12.428571428571429,38.214285714285715,25.785714285714285,32.52336448598131,11,260.4556682913147,167.42417409875273,4.70500562074633,10.801559619274368,15.5,55.357142857142854,39.857142857142854,28.000000000000004,13,161.0339255241789,123.7593483460097,5.664509943061569,10.19194633437727,12.142857142857142,28.428571428571427,16.285714285714285,42.71356783919598,8
320_T2,0.05725190839694657,0.38461538461538464,0.7790663534938345,4,908.9465929029449,398.33757669128414,3.048694849219269,9.436084727035496,42.214285714285715,298.14285714285717,255.92857142857144,14.159080019166268,63.09020176281825,23.503543765231345,3.619929609342031,7.478400288937246,3.142857142857143,17.428571428571427,14.285714285714285,18.0327868852459,24,802.8479935168895,364.9266374146433,3.0337036192271127,9.63957155434907,37.857142857142854,264.64285714285717,226.7857142857143,14.304993252361669,16,43.00839762323716,9.907395511409435,2.6760780743347565,8.159031597631298,1.2142857142857142,16.071428571428573,14.85714285714286,7.5555555555555545,10,6.243720989322422,0.4305556017082202,2.6488513288034516,6.027778423915083,0.07142857142857142,2.357142857142857,2.2857142857142856,3.03030303030303,4,36.76467663391474,9.476839909701214,2.68075767122295,8.292234920988562,1.1428571428571428,13.714285714285714,12.571428571428571,8.333333333333332,6,555.8723742378495,210.8044823443189,2.5743345151604013,9.398925964396383,22.428571428571427,215.92857142857142,193.5,10.38703274892491,11,246.97561927904,154.12215507032445,5.069880747663578,9.989398939743252,15.428571428571429,48.714285714285715,33.285714285714285,31.671554252199414,5
321_T2,0.028931154567372084,0.3157894736842105,0.8276396858742087,0,840.7656312299277,315.47449990605014,2.8200093045565375,8.886605631156343,35.5,298.14285714285717,262.64285714285717,11.907043603258264,85.13101750007358,14.937284897604172,2.70257198412932,7.468642448802085,2,31.5,29.5,6.349206349206349,20,735.3627940897574,299.1010508632352,2.8400218254500973,8.985868480869726,33.285714285714285,258.92857142857144,225.64285714285717,12.855172413793102,13,20.271819640096826,1.4361641452108243,2.6278284718644036,6.70209934431718,0.21428571428571427,7.714285714285714,7.5,2.7777777777777777,6,16.35311426783989,1.4361641452108243,2.8980202499969425,6.70209934431718,0.21428571428571427,5.642857142857143,5.428571428571429,3.797468354430379,2,3.9187053722569365,0,1.8917888003999006,NA,0,2.0714285714285716,2.0714285714285716,0,4,170.31206156773035,98.93456237837023,4.585324734515817,9.172740882762803,10.785714285714286,37.142857142857146,26.35714285714286,29.03846153846154,4,565.0507325220269,200.16648848486494,2.5477327714358706,8.896288377105108,22.5,221.78571428571428,199.28571428571428,10.144927536231885,9
322_T2,0.06875719217491369,0.2222222222222222,0.8545102928014321,4,1108.076348039879,539.0618420783948,3.716595321647892,10.212267644245637,52.785714285714285,298.14285714285717,245.3571428571429,17.704839482510778,135.8944966853448,29.93514053986707,2.725677583946744,7.907395614304509,3.7857142857142856,49.857142857142854,46.07142857142857,7.593123209169055,45,932.8254191267702,502.82025492224574,4.034462733325543,10.398055493222216,48.357142857142854,231.21428571428572,182.85714285714286,20.914426938523324,35,39.35643222776389,6.306446616281917,2.305397703718387,9.810028069771871,0.6428571428571429,17.071428571428573,16.42857142857143,3.765690376569038,10,29.21442535787874,6.306446616281917,2.7635267230425833,9.810028069771871,0.6428571428571429,10.571428571428571,9.928571428571429,6.081081081081082,4,10.142006869885153,0,1.5603087492131003,NA,0,6.5,6.5,0,6,622.1339120711336,314.93001953485185,3.75911729348117,10.447915340018781,30.142857142857142,165.5,135.35714285714286,18.213206732844196,25,310.6915070556365,187.89023538739391,4.727914237803164,10.315542334994175,18.214285714285715,65.71428571428571,47.49999999999999,27.71739130434783,10
